Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag","Chlamydia trachomatis infection, Cum 2018†","Chlamydia trachomatis infection, Cum 2018†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chancroid, Cum 2018†","Chancroid, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
SOUTH DAKOTA,2019,24,,NP,,NC,,NP,,NN,1,,109,,1456,,2041,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192427
SOUTH ATLANTIC,2019,24,,NP,,NC,,NP,,NN,2569,,7988,,156136,,167520,,,-,0,,,-,1,,,SOUTH ATLANTIC,20192428
DELAWARE,2019,24,,NP,,NC,,NP,,NN,,-,300,,2565,,2277,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192429
DISTRICT OF COLUMBIA,2019,24,,NP,,NC,,NP,,NN,53,,212,,3942,,4329,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192430
FLORIDA,2019,24,,NP,,NC,,NP,,NN,1362,,2494,,48886,,46984,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20192431
GEORGIA,2019,24,,NP,,NC,,NP,,NN,,-,1657,,25332,,30165,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20192432
MARYLAND,2019,24,,NP,,NC,,NP,,NN,,-,798,,12482,,16465,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20192433
NORTH CAROLINA,2019,24,,NP,,NC,,NP,,NN,94,,1482,,25698,,30327,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20192434
SOUTH CAROLINA,2019,24,,NP,,NC,,NP,,NN,,-,1412,,13507,,15457,,,-,0,,,-,1,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192435
VIRGINIA,2019,24,,NP,,NC,,NP,,NN,862,,1258,,21990,,19817,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20192436
WEST VIRGINIA,2019,24,,NP,,NC,,NP,,NN,198,,251,,1734,,1699,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20192437
EAST SOUTH CENTRAL,2019,24,,NP,,NC,,NP,,NN,469,,5951,,41316,,44478,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20192438
ALABAMA,2019,24,,NP,,NC,,NP,,NN,,-,973,,13047,,12269,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192439
KENTUCKY,2019,24,,NP,,NC,,NP,,NN,,-,4788,,3467,,4607,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20192440
MISSISSIPPI,2019,24,,NP,,NC,,NP,,NN,236,,554,,8027,,10178,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192441
TENNESSEE,2019,24,,NP,,NC,,NP,,NN,233,,952,,16775,,17424,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20192442
WEST SOUTH CENTRAL,2019,24,,NP,,NC,,NP,,NN,494,,4803,,31544,,104208,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20192443
ARKANSAS,2019,24,,NP,,NC,,NP,,NN,1,,415,,3283,,8131,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20192444
LOUISIANA,2019,24,,NP,,NC,,NP,,NN,418,,861,,15511,,16606,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20192445
OKLAHOMA,2019,24,,NP,,NC,,NP,,NN,75,,541,,7034,,9959,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20192446
TEXAS,2019,24,,NP,,NC,,NP,,NN,,-,3094,,5716,,69512,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20192447
MOUNTAIN,2019,24,,NP,,NC,,NP,,NN,881,,2852,,55696,,56164,,,-,1,,1,,,-,,MOUNTAIN,20192448
ARIZONA,2019,24,,NP,,NC,,NP,,NN,435,,966,,18857,,18511,,,-,1,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20192449
COLORADO,2019,24,,NP,,NC,,NP,,NN,,-,943,,13203,,12281,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20192450
IDAHO,2019,24,,NP,,NC,,NP,,NN,114,,198,,3186,,3017,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20192451
MONTANA,2019,24,,NP,,NC,,NP,,NN,68,,140,,2059,,2226,,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20192452
NEVADA,2019,24,,NP,,NC,,NP,,NN,214,,435,,6882,,7925,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20192453
NEW MEXICO,2019,24,,NP,,NC,,NP,,NN,26,,325,,5891,,6435,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20192454
UTAH,2019,24,,NP,,NC,,NP,,NN,,-,250,,4773,,4799,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192455
WYOMING,2019,24,,NP,,NC,,NP,,NN,24,,63,,845,,970,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192456
PACIFIC,2019,24,,NP,,NC,,NP,,NN,1291,,6391,,127173,,138098,,,-,0,,,-,1,,,PACIFIC,20192457
ALASKA,2019,24,,NP,,NC,,NP,,NN,,-,152,,2465,,2924,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192458
CALIFORNIA,2019,24,,NP,,NC,,NP,,NN,429,,5236,,103404,,106305,,,-,0,,,-,1,,"CALIFORNIA
(37.211164, -119.662127)",,20192459
HAWAII,2019,24,,NP,,NC,,NP,,NN,,-,181,,,-,3454,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192460
OREGON,2019,24,,NP,,NC,,NP,,NN,400,,485,,8618,,9021,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20192461
WASHINGTON,2019,24,,NP,,NC,,NP,,NN,462,,758,,12686,,16394,,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192462
US TERRITORIES,2019,24,,NP,,NC,,NP,,NN,62,,249,,2288,,2807,,,-,0,,,-,,-,,US TERRITORIES,20192463
AMERICAN SAMOA,2019,24,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20192464
NORTHERN MARIANA ISLANDS,2019,24,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192465
GUAM,2019,24,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192466
PUERTO RICO,2019,24,,NP,,NC,,NP,,NN,62,,243,,2288,,2575,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192467
U.S. VIRGIN ISLANDS,2019,24,,NP,,NC,,NP,,NN,,-,15,,,-,232,,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192468
NON-US RESIDENTS,2019,24,,NP,,NC,,NP,,NN,,-,,NC,1,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192469
TOTAL,2019,24,,NP,,NC,,NP,,NN,11030,,37050,,669199,,799067,,,-,1,,1,,2,,,TOTAL,20192470
OHIO,2019,27,,NP,,NC,,NP,,NN,511,,1501,,32805,,31743,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20192718
WISCONSIN,2019,27,,NP,,NC,,NP,,NN,269,,640,,14429,,13925,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20192719
WEST NORTH CENTRAL,2019,27,,NP,,NC,,NP,,NN,360,,2328,,47430,,51964,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20192720
IOWA,2019,27,,NP,,NC,,NP,,NN,19,,342,,5725,,7210,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192721
KANSAS,2019,27,,NP,,NC,,NP,,NN,97,,339,,7114,,6993,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20192722
MINNESOTA,2019,27,,NP,,NC,,NP,,NN,3,,561,,11609,,11802,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192723
MISSOURI,2019,27,,NP,,NC,,NP,,NN,227,,785,,17545,,17555,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20192724
NEBRASKA,2019,27,,NP,,NC,,NP,,NN,,-,253,,1619,,4340,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20192725
US RESIDENTS,2019,1,,NP,,NC,,NP,,NN,5084,,36649,,5084,,23529,,,-,1,,,-,,-,,US RESIDENTS,20190101
NEW ENGLAND,2019,1,,NP,,NC,,NP,,NN,,-,1021,,,-,511,,,-,0,,,-,,-,,NEW ENGLAND,20190102
MAINE,2019,1,,NP,,NC,,NP,,NN,,-,142,,,-,43,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190104
MASSACHUSETTS,2019,1,,NP,,NC,,NP,,NN,,-,688,,,-,400,,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
NEW HAMPSHIRE,2019,1,,NP,,NC,,NP,,NN,,-,116,,,-,64,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190106
RHODE ISLAND,2019,1,,NP,,NC,,NP,,NN,,-,211,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190107
VERMONT,2019,1,,NP,,NC,,NP,,NN,,-,29,,,-,4,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
MIDDLE ATLANTIC,2019,1,,NP,,NC,,NP,,NN,980,,4622,,980,,2398,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20190109
NEW JERSEY,2019,1,,NP,,NC,,NP,,NN,116,,824,,116,,473,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190110
US TERRITORIES,2019,32,,NP,,NC,,NP,,NN,,-,303,,3043,,3978,,,-,0,,,-,,-,,US TERRITORIES,20193263
NEW YORK,2019,1,,NP,,NC,,NP,,NN,170,,1203,,170,,245,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190111
NEW YORK CITY,2019,1,,NP,,NC,,NP,,NN,,-,1588,,,-,961,,,-,0,,,-,,-,,NEW YORK CITY,20190112
PENNSYLVANIA,2019,1,,NP,,NC,,NP,,NN,694,,1296,,694,,719,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190113
EAST NORTH CENTRAL,2019,1,,NP,,NC,,NP,,NN,910,,5389,,910,,3720,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20190114
ILLINOIS,2019,1,,NP,,NC,,NP,,NN,34,,1606,,34,,1096,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190115
INDIANA,2019,1,,NP,,NC,,NP,,NN,,-,950,,,-,502,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190116
MICHIGAN,2019,1,,NP,,NC,,NP,,NN,202,,1193,,202,,704,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
OHIO,2019,1,,NP,,NC,,NP,,NN,422,,1355,,422,,996,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190118
WISCONSIN,2019,1,,NP,,NC,,NP,,NN,252,,651,,252,,422,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190119
WEST NORTH CENTRAL,2019,1,,NP,,NC,,NP,,NN,310,,2284,,310,,1584,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20190120
IOWA,2019,1,,NP,,NC,,NP,,NN,8,,333,,8,,223,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190121
KANSAS,2019,1,,NP,,NC,,NP,,NN,68,,344,,68,,218,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190122
MINNESOTA,2019,1,,NP,,NC,,NP,,NN,,-,529,,,-,389,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190123
MISSOURI,2019,1,,NP,,NC,,NP,,NN,202,,852,,202,,515,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190124
NEBRASKA,2019,1,,NP,,NC,,NP,,NN,,-,254,,,-,113,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190125
NORTH DAKOTA,2019,1,,NP,,NC,,NP,,NN,4,,84,,4,,47,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190126
SOUTH DAKOTA,2019,1,,NP,,NC,,NP,,NN,28,,106,,28,,79,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
SOUTH ATLANTIC,2019,1,,NP,,NC,,NP,,NN,947,,7629,,947,,4038,,,-,1,,,-,,-,,SOUTH ATLANTIC,20190128
DELAWARE,2019,1,,NP,,NC,,NP,,NN,,-,302,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
DISTRICT OF COLUMBIA,2019,1,,NP,,NC,,NP,,NN,,-,266,,,-,92,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
FLORIDA,2019,1,,NP,,NC,,NP,,NN,274,,2277,,274,,600,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190131
GEORGIA,2019,1,,NP,,NC,,NP,,NN,,-,1468,,,-,629,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190132
MARYLAND,2019,1,,NP,,NC,,NP,,NN,22,,785,,22,,727,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190133
NORTH CAROLINA,2019,1,,NP,,NC,,NP,,NN,2,,1410,,2,,914,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
SOUTH CAROLINA,2019,1,,NP,,NC,,NP,,NN,,-,1082,,,-,430,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190135
VIRGINIA,2019,1,,NP,,NC,,NP,,NN,649,,1425,,649,,609,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190136
WEST VIRGINIA,2019,1,,NP,,NC,,NP,,NN,,-,114,,,-,37,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
EAST SOUTH CENTRAL,2019,1,,NP,,NC,,NP,,NN,135,,2434,,135,,1258,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20190138
ALABAMA,2019,1,,NP,,NC,,NP,,NN,,-,860,,,-,362,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190139
KENTUCKY,2019,1,,NP,,NC,,NP,,NN,,-,578,,,-,36,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190140
MISSISSIPPI,2019,1,,NP,,NC,,NP,,NN,11,,503,,11,,391,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190141
TENNESSEE,2019,1,,NP,,NC,,NP,,NN,124,,903,,124,,469,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190142
WEST SOUTH CENTRAL,2019,1,,NP,,NC,,NP,,NN,33,,6416,,33,,3697,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190143
ARKANSAS,2019,1,,NP,,NC,,NP,,NN,,-,393,,,-,351,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190144
LOUISIANA,2019,1,,NP,,NC,,NP,,NN,,-,826,,,-,480,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190145
OKLAHOMA,2019,1,,NP,,NC,,NP,,NN,33,,420,,33,,282,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190146
TEXAS,2019,1,,NP,,NC,,NP,,NN,,-,4996,,,-,2584,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190147
MOUNTAIN,2019,1,,NP,,NC,,NP,,NN,804,,2795,,804,,1828,,,-,1,,,-,,-,,MOUNTAIN,20190148
ARIZONA,2019,1,,NP,,NC,,NP,,NN,256,,911,,256,,716,,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190149
COLORADO,2019,1,,NP,,NC,,NP,,NN,382,,952,,382,,396,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190150
IDAHO,2019,1,,NP,,NC,,NP,,NN,,-,198,,,-,81,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190151
MONTANA,2019,1,,NP,,NC,,NP,,NN,43,,141,,43,,61,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
NEVADA,2019,1,,NP,,NC,,NP,,NN,,-,343,,,-,155,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
NEW MEXICO,2019,1,,NP,,NC,,NP,,NN,17,,318,,17,,235,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190154
UTAH,2019,1,,NP,,NC,,NP,,NN,106,,248,,106,,151,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190155
WYOMING,2019,1,,NP,,NC,,NP,,NN,,-,72,,,-,33,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
PACIFIC,2019,1,,NP,,NC,,NP,,NN,965,,6563,,965,,4495,,,-,1,,,-,,-,,PACIFIC,20190157
ALASKA,2019,1,,NP,,NC,,NP,,NN,,-,168,,,-,131,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190158
CALIFORNIA,2019,1,,NP,,NC,,NP,,NN,182,,4944,,182,,3578,,,-,1,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190159
HAWAII,2019,1,,NP,,NC,,NP,,NN,,-,335,,,-,225,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
OREGON,2019,1,,NP,,NC,,NP,,NN,255,,443,,255,,326,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190161
WASHINGTON,2019,1,,NP,,NC,,NP,,NN,528,,885,,528,,235,,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190162
US TERRITORIES,2019,1,,NP,,NC,,NP,,NN,,-,249,,,-,26,,,-,0,,,-,,-,,US TERRITORIES,20190163
PUERTO RICO,2019,1,,NP,,NC,,NP,,NN,,-,243,,,-,21,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190167
U.S. VIRGIN ISLANDS,2019,1,,NP,,NC,,NP,,NN,,-,18,,,-,5,,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190168
TOTAL,2019,1,,NP,,NC,,NP,,NN,5084,,36737,,5084,,23555,,,-,1,,,-,,-,,TOTAL,20190170
US RESIDENTS,2019,2,,NP,,NC,,NP,,NN,10452,,37175,,21695,,58143,,,-,1,,,-,,-,,US RESIDENTS,20190201
NEW ENGLAND,2019,2,,NP,,NC,,NP,,NN,66,,1021,,126,,1299,,,-,0,,,-,,-,,NEW ENGLAND,20190202
CONNECTICUT,2019,2,,NP,,NC,,NP,,NN,,U,,NC,,U,,U,,U,,NC,,U,,U,"CONNECTICUT
(41.575155, -72.738288)",,20190203
MAINE,2019,2,,NP,,NC,,NP,,NN,,-,142,,,-,130,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190204
MASSACHUSETTS,2019,2,,NP,,NC,,NP,,NN,,-,688,,,-,1018,,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190205
NEW HAMPSHIRE,2019,2,,NP,,NC,,NP,,NN,66,,116,,125,,131,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190206
RHODE ISLAND,2019,2,,NP,,NC,,NP,,NN,,-,211,,1,,10,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190207
VERMONT,2019,2,,NP,,NC,,NP,,NN,,-,29,,,-,10,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190208
MIDDLE ATLANTIC,2019,2,,NP,,NC,,NP,,NN,2758,,5063,,4419,,7065,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20190209
NEW JERSEY,2019,2,,NP,,NC,,NP,,NN,318,,824,,771,,1255,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190210
NEW YORK,2019,2,,NP,,NC,,NP,,NN,757,,1401,,926,,1024,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190211
NEW YORK CITY,2019,2,,NP,,NC,,NP,,NN,946,,1590,,1188,,2473,,,-,0,,,-,,-,,NEW YORK CITY,20190212
PENNSYLVANIA,2019,2,,NP,,NC,,NP,,NN,737,,1696,,1534,,2313,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190213
EAST NORTH CENTRAL,2019,2,,NP,,NC,,NP,,NN,1684,,5411,,3638,,8790,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20190214
ILLINOIS,2019,2,,NP,,NC,,NP,,NN,90,,1628,,360,,2674,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190215
INDIANA,2019,2,,NP,,NC,,NP,,NN,,-,950,,,-,1144,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190216
MICHIGAN,2019,2,,NP,,NC,,NP,,NN,468,,1193,,909,,1734,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190217
OHIO,2019,2,,NP,,NC,,NP,,NN,721,,1355,,1591,,2261,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190218
WISCONSIN,2019,2,,NP,,NC,,NP,,NN,405,,651,,778,,977,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190219
WEST NORTH CENTRAL,2019,2,,NP,,NC,,NP,,NN,597,,2285,,1325,,3687,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20190220
IOWA,2019,2,,NP,,NC,,NP,,NN,5,,333,,105,,493,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190221
KANSAS,2019,2,,NP,,NC,,NP,,NN,142,,344,,348,,470,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190222
MINNESOTA,2019,2,,NP,,NC,,NP,,NN,,-,529,,,-,918,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190223
MISSOURI,2019,2,,NP,,NC,,NP,,NN,343,,852,,661,,1231,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190224
NEBRASKA,2019,2,,NP,,NC,,NP,,NN,,-,254,,,-,287,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190225
NORTH DAKOTA,2019,2,,NP,,NC,,NP,,NN,46,,84,,98,,113,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190226
SOUTH DAKOTA,2019,2,,NP,,NC,,NP,,NN,61,,106,,113,,175,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190227
SOUTH ATLANTIC,2019,2,,NP,,NC,,NP,,NN,2301,,7637,,3754,,10706,,,-,1,,,-,,-,,SOUTH ATLANTIC,20190228
DELAWARE,2019,2,,NP,,NC,,NP,,NN,,-,302,,,-,95,,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190229
DISTRICT OF COLUMBIA,2019,2,,NP,,NC,,NP,,NN,,-,266,,,-,300,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190230
FLORIDA,2019,2,,NP,,NC,,NP,,NN,1141,,2277,,1660,,2457,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190231
GEORGIA,2019,2,,NP,,NC,,NP,,NN,,-,1468,,,-,1897,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190232
MARYLAND,2019,2,,NP,,NC,,NP,,NN,52,,785,,281,,1416,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190233
NORTH CAROLINA,2019,2,,NP,,NC,,NP,,NN,,-,1410,,58,,2290,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190234
SOUTH CAROLINA,2019,2,,NP,,NC,,NP,,NN,,-,1082,,,-,949,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190235
VIRGINIA,2019,2,,NP,,NC,,NP,,NN,1108,,1425,,1755,,1195,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190236
WEST VIRGINIA,2019,2,,NP,,NC,,NP,,NN,,-,114,,,-,107,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190237
EAST SOUTH CENTRAL,2019,2,,NP,,NC,,NP,,NN,328,,2439,,683,,3103,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20190238
ALABAMA,2019,2,,NP,,NC,,NP,,NN,,-,860,,,-,915,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190239
KENTUCKY,2019,2,,NP,,NC,,NP,,NN,,-,578,,,-,251,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190240
MISSISSIPPI,2019,2,,NP,,NC,,NP,,NN,28,,503,,259,,841,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190241
TENNESSEE,2019,2,,NP,,NC,,NP,,NN,300,,910,,424,,1096,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190242
WEST SOUTH CENTRAL,2019,2,,NP,,NC,,NP,,NN,50,,6427,,192,,8655,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190243
ARKANSAS,2019,2,,NP,,NC,,NP,,NN,,-,393,,,-,713,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190244
LOUISIANA,2019,2,,NP,,NC,,NP,,NN,,-,832,,,-,1181,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190245
OKLAHOMA,2019,2,,NP,,NC,,NP,,NN,50,,420,,192,,648,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190246
TEXAS,2019,2,,NP,,NC,,NP,,NN,,-,4996,,,-,6113,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190247
