Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2018","Chlamydia trachomatis infection, Cum 2018, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2018","Coccidioidomycosis, Cum 2018, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag",Location 1,Location 2
GEORGIA,2018,1,,-,1227,,1442,,,-,1004,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
COLORADO,2018,1,393,,500,,790,,393,,395,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MONTANA,2018,1,,-,76,,158,,,-,32,,,-,0,,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2018,1,119,,619,,1245,,119,,48,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2018,1,,-,754,,1614,,,-,178,,261,,114,,338,,261,,107,,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2018,1,152,,684,,846,,152,,693,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
IOWA,2018,1,,-,265,,338,,,-,237,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
LOUISIANA,2018,1,11,,628,,1678,,11,,176,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
INDIANA,2018,1,229,,649,,927,,229,,517,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2018,1,,-,376,,512,,,-,320,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2018,1,,-,133,,181,,,-,129,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
WYOMING,2018,1,,-,40,,74,,,-,30,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MISSISSIPPI,2018,1,45,,373,,734,,45,,16,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH DAKOTA,2018,1,1,,61,,78,,1,,57,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2018,1,105,,676,,915,,105,,455,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ALASKA,2018,1,,-,111,,155,,,-,31,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2018,1,219,,543,,643,,219,,478,,,-,0,,1,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
AMER. SAMOA,2018,34,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
WASHINGTON,2018,1,235,,476,,615,,235,,394,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2018,1,,-,1184,,1386,,,-,1067,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2018,1,107,,631,,838,,107,,474,,1,,0,,2,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
MAINE,2018,1,,-,68,,153,,,-,153,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
OHIO,2018,1,465,,1158,,1314,,465,,1106,,,-,0,,4,,,-,2,,"OHIO
(40.056807, -82.405897)",
C.N.M.I.,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MINNESOTA,2018,1,,-,437,,517,,,-,458,,,-,1,,4,,,-,2,,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2018,1,,-,344,,405,,,-,279,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2018,1,82,,197,,272,,82,,175,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEVADA,2018,1,,-,253,,346,,,-,188,,,-,3,,10,,,-,2,,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2018,1,,-,114,,350,,,-,350,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2018,1,,-,114,,179,,,-,2,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
CALIFORNIA,2018,1,,-,4222,,4720,,,-,3828,,,-,23,,48,,,-,12,,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2018,1,,-,161,,233,,,-,98,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ARKANSAS,2018,1,,-,207,,681,,,-,,-,,-,0,,2,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DIST. OF COL.,2018,1,,-,164,,426,,,-,54,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2018,2,219,,631,,839,,405,,1071,,,-,0,,2,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
GUAM,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
COLORADO,2018,2,,-,500,,790,,393,,923,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MARYLAND,2018,2,332,,621,,1245,,479,,196,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IOWA,2018,2,95,,265,,338,,287,,533,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2018,2,,-,595,,2152,,,-,1211,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
S. ATLANTIC,2018,2,2481,,6756,,8354,,4121,,10152,,,-,0,,2,,,-,,-,,
NEW YORK CITY,2018,2,749,,1418,,1589,,1359,,2724,,,N,0,,0,,,N,,N,,
WEST VIRGINIA,2018,2,,-,75,,130,,,-,159,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2018,2,368,,377,,736,,415,,185,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2018,2,,-,207,,681,,,-,123,,,-,0,,2,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PENNSYLVANIA,2018,2,734,,1112,,2006,,1435,,3414,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
PUERTO RICO,2018,2,,-,113,,241,,,-,397,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
E.N. CENTRAL,2018,2,1424,,4394,,5205,,3329,,9244,,,-,1,,4,,,-,4,,,
AMER. SAMOA,2018,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
MOUNTAIN,2018,2,341,,2245,,3025,,1031,,3054,,216,,118,,344,,492,,226,,,
C.N.M.I.,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WYOMING,2018,2,,-,40,,76,,,-,60,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
DELAWARE,2018,2,,-,102,,149,,,-,151,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2018,2,334,,546,,643,,708,,1087,,,-,0,,1,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2018,2,371,,365,,545,,695,,456,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
GEORGIA,2018,2,439,,1227,,1442,,813,,2348,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
UNITED STATES,2018,2,9071,,32013,,35299,,19381,,56293,,236,,204,,373,,532,,391,,,
CALIFORNIA,2018,2,426,,4242,,4720,,3103,,8333,,20,,64,,107,,38,,155,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2018,2,,-,197,,272,,82,,389,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
LOUISIANA,2018,2,31,,628,,1678,,42,,562,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MINNESOTA,2018,2,,-,437,,517,,,-,941,,,-,1,,4,,,-,5,,"MINNESOTA
(46.357661, -94.793397)",
VIRGINIA,2018,2,585,,764,,1605,,1194,,1090,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2018,2,,-,2871,,4061,,,-,5160,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
NEW ENGLAND,2018,2,8,,1010,,1302,,17,,1928,,,-,0,,1,,,-,,-,,
DIST. OF COL.,2018,2,,-,165,,426,,,-,350,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2018,2,,-,1071,,1596,,,-,2704,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
VIRGIN ISL.,2018,2,,-,10,,21,,,-,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH DAKOTA,2018,2,,-,61,,78,,2,,118,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEBRASKA,2018,2,,-,163,,233,,,-,247,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2018,2,618,,1158,,1314,,1483,,2378,,,-,0,,4,,,-,2,,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2018,2,,-,570,,683,,,-,1051,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
W.N. CENTRAL,2018,2,440,,1896,,2185,,1040,,3564,,,-,2,,5,,2,,5,,,
VERMONT,2018,2,,-,21,,50,,,-,59,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2018,2,154,,676,,915,,259,,1352,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ALASKA,2018,2,,-,111,,155,,,-,128,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
PACIFIC,2018,2,1212,,5335,,5804,,4448,,10136,,20,,65,,107,,38,,155,,,
NEVADA,2018,2,,-,254,,346,,,-,422,,,-,3,,10,,,-,4,,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2018,2,786,,864,,1337,,1032,,894,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
HAWAII,2018,2,,-,132,,181,,,-,283,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2018,2,50,,250,,417,,73,,294,,,-,0,,2,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
W.S. CENTRAL,2018,2,74,,4046,,5416,,177,,6455,,,-,0,,3,,,-,,-,,
KENTUCKY,2018,2,,-,376,,512,,,-,720,,,-,0,,1,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
NEW JERSEY,2018,2,300,,684,,846,,718,,1406,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2018,2,183,,758,,1625,,300,,832,,216,,115,,338,,492,,221,,"ARIZONA
(34.869712, -111.760902)",
OKLAHOMA,2018,2,43,,344,,405,,135,,610,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2018,2,1125,,1994,,2424,,1635,,2354,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MAINE,2018,2,,-,66,,137,,,-,251,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
MID. ATLANTIC,2018,2,2569,,4160,,5074,,4544,,8438,,,-,0,,0,,,-,,-,,
WASHINGTON,2018,2,415,,476,,615,,650,,936,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEW HAMPSHIRE,2018,2,,-,78,,201,,,-,357,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2018,2,,-,202,,357,,,-,207,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
INDIANA,2018,2,244,,649,,927,,593,,1137,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
KANSAS,2018,2,101,,265,,314,,284,,469,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
MONTANA,2018,2,,-,91,,163,,,-,128,,,-,0,,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
SOUTH DAKOTA,2018,2,25,,81,,120,,62,,185,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALABAMA,2018,2,,-,502,,761,,,-,1065,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2018,2,,-,1184,,1386,,,-,2293,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2018,2,228,,944,,1104,,545,,1938,,,-,0,,2,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
RHODE ISLAND,2018,2,8,,86,,262,,17,,3,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
E.S. CENTRAL,2018,2,522,,1868,,2286,,674,,3322,,,-,0,,1,,,-,1,,,
IDAHO,2018,2,108,,114,,179,,183,,6,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2018,3,1,,1180,,1386,,2,,3495,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2018,3,705,,764,,1605,,1899,,1896,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2018,3,44,,1069,,1598,,814,,4045,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2018,3,50,,628,,1678,,92,,1277,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2018,3,306,,546,,643,,1214,,1594,,,-,0,,1,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2018,3,167,,665,,915,,426,,2071,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ARKANSAS,2018,3,,-,207,,715,,1,,217,,,-,0,,2,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IOWA,2018,3,10,,262,,338,,390,,772,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
W.N. CENTRAL,2018,3,272,,1896,,2201,,1679,,5345,,,-,2,,5,,2,,6,,,
ALABAMA,2018,3,311,,558,,953,,1071,,1600,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
SOUTH DAKOTA,2018,3,18,,81,,120,,139,,266,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
OHIO,2018,3,512,,1167,,1315,,2513,,3631,,,-,0,,4,,,-,2,,"OHIO
(40.056807, -82.405897)",
MISSISSIPPI,2018,3,267,,378,,736,,684,,351,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
AMER. SAMOA,2018,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
ALASKA,2018,3,,-,112,,155,,64,,252,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
TEXAS,2018,3,,-,2840,,4061,,,-,7253,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2018,3,,-,102,,149,,,-,231,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2018,3,724,,1108,,2006,,2398,,5420,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH DAKOTA,2018,3,,-,61,,78,,2,,176,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2018,3,,-,202,,444,,,-,501,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2018,3,,-,375,,512,,,-,1107,,,-,0,,1,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
VIRGIN ISL.,2018,3,,-,10,,21,,,-,27,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GUAM,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2018,3,,-,132,,181,,,-,413,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
OREGON,2018,3,355,,365,,545,,1056,,821,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
MOUNTAIN,2018,3,640,,2245,,3026,,2394,,4800,,252,,123,,327,,783,,382,,,
SOUTH CAROLINA,2018,3,,-,594,,2152,,,-,1811,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MONTANA,2018,3,,-,89,,163,,,-,245,,,-,0,,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MAINE,2018,3,,-,63,,137,,,-,328,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
NEW YORK,2018,3,887,,864,,1440,,1920,,1713,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
FLORIDA,2018,3,950,,2007,,2424,,3069,,3974,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
E.S. CENTRAL,2018,3,745,,2015,,2758,,2181,,5129,,,-,0,,1,,,-,1,,,
WASHINGTON,2018,3,327,,475,,615,,977,,1392,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2018,3,60,,248,,429,,184,,586,,,-,0,,2,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2018,3,,-,41,,76,,,-,95,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
C.N.M.I.,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2018,3,24,,344,,405,,340,,956,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2018,3,374,,568,,683,,1261,,1595,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
E.N. CENTRAL,2018,3,1379,,4450,,5207,,6868,,14057,,,-,1,,4,,,-,6,,,
UTAH,2018,3,127,,196,,272,,347,,595,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
IDAHO,2018,3,124,,114,,179,,310,,13,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEBRASKA,2018,3,,-,163,,233,,,-,399,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
UNITED STATES,2018,3,9176,,32152,,35301,,40155,,86963,,256,,206,,365,,841,,625,,,
CALIFORNIA,2018,3,241,,4229,,4724,,7240,,12417,,4,,64,,107,,56,,230,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2018,3,,-,435,,517,,,-,1373,,,-,1,,4,,,-,6,,"MINNESOTA
(46.357661, -94.793397)",
VERMONT,2018,3,,-,23,,50,,,-,97,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2018,3,,-,75,,130,,,-,256,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
PACIFIC,2018,3,923,,5325,,5808,,9337,,15295,,4,,64,,107,,56,,230,,,
KANSAS,2018,3,86,,265,,314,,469,,722,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2018,3,187,,1224,,1442,,1601,,3623,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2018,3,352,,627,,1245,,906,,464,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2018,3,,-,114,,241,,,-,517,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
MID. ATLANTIC,2018,3,2572,,4153,,5074,,8506,,13288,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2018,3,,-,164,,426,,,-,542,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2018,3,158,,631,,840,,679,,1637,,,-,0,,2,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2018,3,,-,77,,185,,,-,529,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2018,3,252,,682,,846,,1371,,2043,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
RHODE ISLAND,2018,3,2,,86,,262,,19,,4,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2018,3,329,,759,,1626,,676,,1310,,252,,118,,324,,782,,376,,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2018,3,,-,496,,790,,877,,1332,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW YORK CITY,2018,3,709,,1418,,1589,,2817,,4112,,,N,0,,0,,,N,,N,,
NEVADA,2018,3,,-,253,,346,,,-,624,,,-,3,,10,,1,,5,,"NEVADA
(39.491833, -117.070159)",
S. ATLANTIC,2018,3,2195,,6763,,8362,,7477,,16292,,,-,0,,2,,,-,,-,,
INDIANA,2018,3,301,,649,,925,,1253,,1750,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
W.S. CENTRAL,2018,3,74,,4047,,5416,,433,,9703,,,-,0,,3,,,-,,-,,
MICHIGAN,2018,3,216,,938,,1099,,1074,,3037,,,-,0,,2,,,-,2,,"MICHIGAN
(44.66399, -84.711206)",
NEW ENGLAND,2018,3,376,,1025,,1302,,1280,,3054,,,-,0,,1,,,-,,-,,
ALASKA,2018,4,,-,111,,155,,64,,385,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MID. ATLANTIC,2018,4,3083,,4140,,5074,,12933,,18225,,,-,0,,0,,,-,,-,,
