"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,New York,2016,42,1542,11,1,0.78,0.71,0.06
States,Colorado,2016,43,338,2,0,0.59,0.59,0
States,New York,2016,43,1537,8,4,0.78,0.52,0.26
States,Colorado,2016,44,318,3,0,0.94,0.94,0
States,New York,2016,44,1580,12,2,0.89,0.76,0.13
States,Colorado,2016,45,394,8,0,2.03,2.03,0
States,New York,2016,45,1685,18,1,1.13,1.07,0.06
States,Colorado,2016,46,386,7,1,2.07,1.81,0.26
States,New York,2016,46,1705,21,4,1.47,1.23,0.23
States,Colorado,2016,47,372,10,1,2.96,2.69,0.27
States,New York,2016,47,1672,30,3,1.97,1.79,0.18
States,Colorado,2016,48,462,17,0,3.68,3.68,0
States,New York,2016,48,2068,60,14,3.58,2.9,0.68
States,Colorado,2016,49,488,18,3,4.3,3.69,0.61
States,New York,2016,49,1483,46,2,3.24,3.1,0.13
States,Colorado,2016,50,533,22,2,4.5,4.13,0.38
States,New York,2016,50,2102,126,8,6.37,5.99,0.38
States,Colorado,2016,51,653,54,5,9.04,8.27,0.77
States,New York,2016,51,2525,335,15,13.86,13.27,0.59
States,Colorado,2016,52,915,127,6,14.54,13.88,0.66
States,New York,2016,52,3281,708,14,22.01,21.58,0.43
States,Colorado,2017,1,949,112,3,12.12,11.8,0.32
States,New York,2017,1,3627,603,22,17.23,16.63,0.61
States,Colorado,2017,2,876,101,3,11.87,11.53,0.34
States,New York,2017,2,3714,732,51,21.08,19.71,1.37
States,Colorado,2017,3,802,102,6,13.47,12.72,0.75
States,New York,2017,3,3787,922,53,25.75,24.35,1.4
States,Colorado,2017,4,829,109,9,14.23,13.15,1.09
States,New York,2017,4,4271,1052,74,26.36,24.63,1.73
States,Colorado,2017,5,991,151,11,16.35,15.24,1.11
States,New York,2017,5,4288,1129,64,27.82,26.33,1.49
States,Colorado,2017,6,1062,166,22,17.7,15.63,2.07
States,New York,2017,6,4243,1171,95,29.84,27.6,2.24
States,Colorado,2017,7,973,164,28,19.73,16.86,2.88
States,New York,2017,7,4146,871,122,23.95,21.01,2.94
States,Colorado,2017,8,989,117,41,15.98,11.83,4.15
States,New York,2017,8,3815,760,123,23.15,19.92,3.22
States,Colorado,2017,9,866,102,51,17.67,11.78,5.89
States,New York,2017,9,3146,386,95,15.29,12.27,3.02
States,Colorado,2017,10,847,74,70,17,8.74,8.26
States,New York,2017,10,2734,182,101,10.35,6.66,3.69
States,Colorado,2017,11,846,49,92,16.67,5.79,10.87
States,New York,2017,11,2408,164,132,12.29,6.81,5.48
States,Colorado,2017,12,716,36,85,16.9,5.03,11.87
States,New York,2017,12,2388,106,172,11.64,4.44,7.2
States,Colorado,2017,13,702,20,96,16.52,2.85,13.68
States,New York,2017,13,2524,87,266,13.99,3.45,10.54
States,Colorado,2017,14,619,5,70,12.12,0.81,11.31
States,New York,2017,14,2623,51,307,13.65,1.94,11.7
States,Colorado,2017,15,745,10,55,8.72,1.34,7.38
States,New York,2017,15,2427,34,280,12.94,1.4,11.54
States,Colorado,2017,16,510,3,49,10.2,0.59,9.61
States,New York,2017,16,2196,18,168,8.47,0.82,7.65
States,Colorado,2017,17,616,3,36,6.33,0.49,5.84
States,New York,2017,17,1619,14,91,6.49,0.86,5.62
States,Colorado,2017,18,454,14,26,8.81,3.08,5.73
States,New York,2017,18,1484,7,46,3.57,0.47,3.1
States,Colorado,2017,19,391,1,23,6.14,0.26,5.88
States,New York,2017,19,1370,2,35,2.7,0.15,2.55
States,Colorado,2017,20,322,3,7,3.11,0.93,2.17
States,New York,2017,20,1389,8,32,2.88,0.58,2.3
States,Colorado,2017,21,306,1,9,3.27,0.33,2.94
States,New York,2017,21,1216,4,16,1.64,0.33,1.32
States,Colorado,2017,22,260,0,3,1.15,0,1.15
States,New York,2017,22,1115,8,4,1.08,0.72,0.36
States,Colorado,2017,23,245,0,5,2.04,0,2.04
States,New York,2017,23,1112,0,5,0.45,0,0.45
States,Colorado,2017,24,174,2,1,1.72,1.15,0.57
States,New York,2017,24,1050,8,4,1.14,0.76,0.38
States,Colorado,2017,25,178,1,0,0.56,0.56,0
States,New York,2017,25,1005,5,5,1,0.5,0.5
States,Colorado,2017,26,151,0,0,0,0,0
States,New York,2017,26,912,4,1,0.55,0.44,0.11
States,Colorado,2017,27,144,0,1,0.69,0,0.69
States,New York,2017,27,745,2,1,0.4,0.27,0.13
States,Colorado,2017,28,138,0,0,0,0,0
States,New York,2017,28,816,3,2,0.61,0.37,0.25
States,Colorado,2017,29,150,0,1,0.67,0,0.67
States,New York,2017,29,758,3,0,0.4,0.4,0
States,Colorado,2017,30,159,3,1,2.52,1.89,0.63
States,New York,2017,30,750,2,3,0.67,0.27,0.4
States,Colorado,2017,31,171,0,0,0,0,0
States,New York,2017,31,738,3,1,0.54,0.41,0.14
States,Colorado,2017,32,160,0,0,0,0,0
States,New York,2017,32,769,1,1,0.26,0.13,0.13
States,Colorado,2017,33,170,0,1,0.59,0,0.59
States,New York,2017,33,815,1,0,0.12,0.12,0
States,Colorado,2017,34,156,0,0,0,0,0
States,New York,2017,34,790,4,1,0.63,0.51,0.13
States,Colorado,2017,35,193,1,0,0.52,0.52,0
States,New York,2017,35,778,3,0,0.39,0.39,0
States,Colorado,2017,36,209,2,0,0.96,0.96,0
States,New York,2017,36,886,3,1,0.45,0.34,0.11
States,Colorado,2017,37,273,1,0,0.37,0.37,0
States,New York,2017,37,1040,9,1,0.96,0.87,0.1
States,Colorado,2017,38,288,3,1,1.39,1.04,0.35
States,New York,2017,38,1010,5,3,0.79,0.5,0.3
States,Colorado,2017,39,309,2,0,0.65,0.65,0
States,New York,2017,39,1121,9,2,0.98,0.8,0.18
States,Colorado,2017,40,355,1,1,0.56,0.28,0.28
States,New York,2017,40,1357,13,1,1.03,0.96,0.07
States,Colorado,2017,41,359,0,0,0,0,0
States,New York,2017,41,1402,9,4,0.93,0.64,0.29
States,Colorado,2017,42,397,5,1,1.51,1.26,0.25
States,New York,2017,42,1513,11,4,0.99,0.73,0.26
States,Colorado,2017,43,424,6,0,1.42,1.42,0
States,New York,2017,43,1632,18,4,1.35,1.1,0.25
States,Colorado,2017,44,462,18,1,4.11,3.9,0.22
States,New York,2017,44,1654,16,5,1.27,0.97,0.3
States,Colorado,2017,45,525,33,0,6.29,6.29,0
States,New York,2017,45,1926,18,6,1.25,0.93,0.31
States,Colorado,2017,46,574,54,3,9.93,9.41,0.52
States,New York,2017,46,1968,13,13,1.32,0.66,0.66
States,Colorado,2017,47,658,82,4,13.07,12.46,0.61
States,New York,2017,47,1851,30,23,2.86,1.62,1.24
States,Colorado,2017,48,674,75,3,11.57,11.13,0.45
States,New York,2017,48,2282,39,36,3.29,1.71,1.58
States,Colorado,2017,49,680,75,4,11.62,11.03,0.59
States,New York,2017,49,2467,55,53,4.38,2.23,2.15
States,Colorado,2017,50,871,115,7,14.01,13.2,0.8
States,New York,2017,50,2562,102,75,6.91,3.98,2.93
States,Colorado,2017,51,1268,245,28,21.53,19.32,2.21
States,New York,2017,51,2887,210,115,11.26,7.27,3.98
States,Colorado,2017,52,1528,292,35,21.4,19.11,2.29
States,New York,2017,52,3378,343,191,15.81,10.15,5.65
States,Colorado,2018,1,1503,234,52,19.03,15.57,3.46
States,New York,2018,1,3855,498,225,18.75,12.92,5.84
States,Colorado,2018,2,1610,230,58,17.89,14.29,3.6
States,New York,2018,2,4566,739,271,22.12,16.18,5.94
States,Colorado,2018,3,1566,177,54,14.75,11.3,3.45
States,New York,2018,3,4617,793,379,25.38,17.18,8.21
States,Colorado,2018,4,1918,220,78,15.54,11.47,4.07
States,New York,2018,4,6354,1242,696,30.5,19.55,10.95
States,Colorado,2018,5,1992,211,114,16.32,10.59,5.72
States,New York,2018,5,7177,1398,849,31.31,19.48,11.83
States,Colorado,2018,6,1787,150,92,13.54,8.39,5.15
States,New York,2018,6,7517,1513,953,32.81,20.13,12.68
States,Colorado,2018,7,1760,115,118,13.24,6.53,6.7
States,New York,2018,7,7883,1457,1064,31.98,18.48,13.5
States,Colorado,2018,8,1507,82,94,11.68,5.44,6.24
States,New York,2018,8,5760,830,742,27.29,14.41,12.88
States,Colorado,2018,9,1291,78,88,12.86,6.04,6.82
States,New York,2018,9,4155,396,372,18.48,9.53,8.95
States,Colorado,2018,10,1221,76,82,12.94,6.22,6.72
States,New York,2018,10,3448,234,234,13.57,6.79,6.79
States,Colorado,2018,11,1143,75,86,14.09,6.56,7.52
States,New York,2018,11,3088,179,210,12.6,5.8,6.8
States,Colorado,2018,12,945,52,71,13.02,5.5,7.51
States,New York,2018,12,2861,180,180,12.58,6.29,6.29
States,Colorado,2018,13,826,39,44,10.05,4.72,5.33
States,New York,2018,13,2759,221,212,15.69,8.01,7.68
States,Colorado,2018,14,641,17,36,8.27,2.65,5.62
States,New York,2018,14,2165,167,167,15.43,7.71,7.71
States,Colorado,2018,15,647,20,15,5.41,3.09,2.32
States,New York,2018,15,2032,111,101,10.43,5.46,4.97
States,Colorado,2018,16,505,14,20,6.73,2.77,3.96
States,New York,2018,16,1916,111,66,9.24,5.79,3.44
States,Colorado,2018,17,469,15,15,6.4,3.2,3.2
States,New York,2018,17,1728,76,68,8.33,4.4,3.94
States,Colorado,2018,18,390,14,7,5.38,3.59,1.79
States,New York,2018,18,1609,53,30,5.16,3.29,1.86
States,Colorado,2018,19,358,5,4,2.51,1.4,1.12
States,New York,2018,19,1498,31,34,4.34,2.07,2.27
States,Colorado,2018,20,325,3,3,1.85,0.92,0.92
States,New York,2018,20,1360,22,13,2.57,1.62,0.96
States,Colorado,2018,21,272,0,3,1.1,0,1.1
States,New York,2018,21,1209,11,3,1.16,0.91,0.25
States,Colorado,2018,22,235,0,1,0.43,0,0.43
States,New York,2018,22,1166,10,1,0.94,0.86,0.09
States,Colorado,2018,23,232,0,0,0,0,0
States,New York,2018,23,1139,3,1,0.35,0.26,0.09
States,Colorado,2018,24,217,1,0,0.46,0.46,0
States,New York,2018,24,1070,1,0,0.09,0.09,0
States,Colorado,2018,25,181,0,0,0,0,0
States,New York,2018,25,997,0,0,0,0,0
States,Colorado,2018,26,180,0,0,0,0,0
States,New York,2018,26,859,1,0,0.12,0.12,0
States,Colorado,2018,27,152,1,0,0.66,0.66,0
States,New York,2018,27,812,0,0,0,0,0
States,Colorado,2018,28,177,1,0,0.56,0.56,0
States,New York,2018,28,879,3,0,0.34,0.34,0
States,Colorado,2018,29,168,0,0,0,0,0
States,New York,2018,29,857,2,0,0.23,0.23,0
States,Colorado,2018,30,169,1,0,0.59,0.59,0
States,New York,2018,30,818,2,0,0.24,0.24,0
States,Colorado,2018,31,143,0,0,0,0,0
States,New York,2018,31,755,1,0,0.13,0.13,0
States,Colorado,2018,32,163,0,0,0,0,0
States,New York,2018,32,851,1,0,0.12,0.12,0
States,Colorado,2018,33,162,0,0,0,0,0
States,New York,2018,33,803,0,0,0,0,0
States,Colorado,2018,34,174,0,1,0.57,0,0.57
States,New York,2018,34,860,0,0,0,0,0
States,Colorado,2018,35,216,0,0,0,0,0
States,New York,2018,35,807,1,0,0.12,0.12,0
States,Colorado,2018,36,252,0,0,0,0,0
States,New York,2018,36,810,3,0,0.37,0.37,0
States,Colorado,2018,37,266,0,0,0,0,0
States,New York,2018,37,1218,0,0,0,0,0
States,Colorado,2018,38,244,0,0,0,0,0
States,New York,2018,38,1170,4,1,0.43,0.34,0.09
States,Colorado,2018,39,282,0,0,0,0,0
States,New York,2018,39,1452,4,3,0.48,0.28,0.21
States,Colorado,2018,40,366,0,0,0,0,0
States,New York,2018,40,1454,5,2,0.48,0.34,0.14
States,Colorado,2018,41,407,2,0,0.49,0.49,0
States,New York,2018,41,1999,7,1,0.4,0.35,0.05
States,Colorado,2018,42,440,3,0,0.68,0.68,0
States,New York,2018,42,2068,7,0,0.34,0.34,0
States,Colorado,2018,43,485,1,1,0.41,0.21,0.21
States,New York,2018,43,2152,7,2,0.42,0.33,0.09
States,Colorado,2018,44,498,1,0,0.2,0.2,0
States,New York,2018,44,2043,8,1,0.44,0.39,0.05
States,Colorado,2018,45,507,2,0,0.39,0.39,0
States,New York,2018,45,2106,15,1,0.76,0.71,0.05
States,Colorado,2018,46,480,9,0,1.88,1.88,0
States,New York,2018,46,2029,24,0,1.18,1.18,0
States,Colorado,2018,47,496,11,0,2.22,2.22,0
States,New York,2018,47,2056,30,4,1.65,1.46,0.19
States,Colorado,2018,48,605,29,0,4.79,4.79,0
States,New York,2018,48,2442,59,7,2.7,2.42,0.29
States,Colorado,2018,49,613,68,1,11.26,11.09,0.16
States,New York,2018,49,2572,63,9,2.8,2.45,0.35
States,Colorado,2018,50,818,133,1,16.38,16.26,0.12
States,New York,2018,50,2852,157,10,5.86,5.5,0.35
States,Colorado,2018,51,1100,223,0,20.27,20.27,0
States,New York,2018,51,3169,266,4,8.52,8.39,0.13
States,Colorado,2018,52,1396,288,2,20.77,20.63,0.14
States,New York,2018,52,3399,436,7,13.03,12.83,0.21
States,Colorado,2019,1,1403,210,2,15.11,14.97,0.14
States,New York,2019,1,3852,513,3,13.4,13.32,0.08
States,Colorado,2019,2,819,149,2,18.44,18.19,0.24
States,New York,2019,2,3954,558,9,14.34,14.11,0.23
States,Colorado,2019,3,984,186,1,19,18.9,0.1
States,New York,2019,3,4010,721,0,17.98,17.98,0
States,Colorado,2019,4,996,164,2,16.67,16.47,0.2
States,New York,2019,4,3984,907,8,22.97,22.77,0.2
States,Colorado,2019,5,1058,225,12,22.4,21.27,1.13
States,New York,2019,5,4162,915,4,22.08,21.98,0.1
States,Colorado,2019,6,1220,340,34,30.66,27.87,2.79
States,New York,2019,6,4781,1279,7,26.9,26.75,0.15
States,Colorado,2019,7,1292,392,62,35.14,30.34,4.8
States,New York,2019,7,4901,1332,5,27.28,27.18,0.1
States,Colorado,2019,8,1328,425,68,37.12,32,5.12
States,New York,2019,8,4695,1296,14,27.9,27.6,0.3
States,Colorado,2019,9,1360,442,33,34.93,32.5,2.43
States,New York,2019,9,4189,880,13,21.32,21.01,0.31
States,Colorado,2019,10,1299,381,1,29.41,29.33,0.08
States,New York,2019,10,4198,864,11,20.84,20.58,0.26
States,Colorado,2019,11,1152,283,17,26.04,24.57,1.48
States,New York,2019,11,4142,921,12,22.53,22.24,0.29
States,Colorado,2019,12,981,182,22,20.8,18.55,2.24
States,New York,2019,12,4086,787,23,19.82,19.26,0.56
States,Colorado,2019,13,723,104,16,16.6,14.38,2.21
States,New York,2019,13,3912,725,18,18.99,18.53,0.46
States,Colorado,2019,14,668,67,6,10.93,10.03,0.9
States,New York,2019,14,2718,293,22,11.59,10.78,0.81
States,Colorado,2019,15,523,39,8,8.99,7.46,1.53
States,New York,2019,15,3417,462,34,14.52,13.52,1
States,Colorado,2019,16,519,26,10,6.94,5.01,1.93
States,New York,2019,16,2948,257,24,9.53,8.72,0.81
States,Colorado,2019,17,463,15,6,4.54,3.24,1.3
States,New York,2019,17,2449,112,24,5.55,4.57,0.98
States,Colorado,2019,18,432,15,5,4.63,3.47,1.16
States,New York,2019,18,1681,29,10,2.32,1.73,0.59
States,Colorado,2019,19,406,7,11,4.43,1.72,2.71
States,New York,2019,19,1218,27,3,2.46,2.22,0.25
States,Colorado,2019,20,352,5,5,2.84,1.42,1.42
States,New York,2019,20,1451,20,3,1.59,1.38,0.21
States,Colorado,2019,21,360,8,8,4.44,2.22,2.22
States,New York,2019,21,1334,17,2,1.42,1.27,0.15
States,Colorado,2019,22,286,9,6,5.24,3.15,2.1
States,New York,2019,22,1322,19,3,1.66,1.44,0.23
States,Colorado,2019,23,292,9,3,4.11,3.08,1.03
States,New York,2019,23,1145,6,0,0.52,0.52,0
States,Colorado,2019,24,242,3,2,2.07,1.24,0.83
States,New York,2019,24,1081,5,2,0.65,0.46,0.19
States,Colorado,2019,25,234,3,2,2.14,1.28,0.85
States,New York,2019,25,1130,6,0,0.53,0.53,0
States,Colorado,2019,26,213,2,0,0.94,0.94,0
States,New York,2019,26,964,1,0,0.1,0.1,0
States,Colorado,2019,27,187,4,0,2.14,2.14,0
States,New York,2019,27,839,2,0,0.24,0.24,0
States,Colorado,2019,28,214,0,0,0,0,0
States,New York,2019,28,875,2,0,0.23,0.23,0
States,Colorado,2019,29,204,1,0,0.49,0.49,0
States,New York,2019,29,861,4,1,0.58,0.46,0.12
States,Colorado,2019,30,190,2,3,2.63,1.05,1.58
States,New York,2019,30,740,3,0,0.41,0.41,0
States,Colorado,2019,31,177,2,1,1.69,1.13,0.56
States,New York,2019,31,759,2,1,0.4,0.26,0.13
States,Colorado,2019,32,165,1,0,0.61,0.61,0
States,New York,2019,32,804,4,0,0.5,0.5,0
States,Colorado,2019,33,196,4,1,2.55,2.04,0.51
States,New York,2019,33,849,1,0,0.12,0.12,0
States,Colorado,2019,34,198,1,0,0.51,0.51,0
States,New York,2019,34,745,8,0,1.07,1.07,0
States,Colorado,2019,35,249,4,1,2.01,1.61,0.4
States,New York,2019,35,853,5,0,0.59,0.59,0
States,Colorado,2019,36,275,3,2,1.82,1.09,0.73
States,New York,2019,36,861,8,0,0.93,0.93,0
States,Colorado,2019,37,193,0,0,0,0,0
States,New York,2019,37,1047,9,0,0.86,0.86,0
States,Colorado,2019,38,280,1,0,0.36,0.36,0
States,New York,2019,38,1231,9,2,0.89,0.73,0.16
States,Colorado,2019,39,334,3,0,0.9,0.9,0
States,New York,2019,39,1372,9,2,0.8,0.66,0.15
States,Colorado,2019,40,458,2,0,0.44,0.44,0
States,New York,2019,40,1354,4,0,0.3,0.3,0
States,Colorado,2019,41,441,7,3,2.27,1.59,0.68
States,New York,2019,41,1479,6,4,0.68,0.41,0.27
States,Colorado,2019,42,530,5,6,2.08,0.94,1.13
States,New York,2019,42,1559,4,2,0.38,0.26,0.13
States,Colorado,2019,43,541,6,2,1.48,1.11,0.37
States,New York,2019,43,1660,7,7,0.84,0.42,0.42
States,Colorado,2019,44,511,7,6,2.54,1.37,1.17
States,New York,2019,44,1684,15,5,1.19,0.89,0.3
States,Colorado,2019,45,573,15,9,4.19,2.62,1.57
States,New York,2019,45,1933,19,10,1.5,0.98,0.52
States,Colorado,2019,46,670,14,24,5.67,2.09,3.58
States,New York,2019,46,1858,22,19,2.21,1.18,1.02
States,Colorado,2019,47,706,9,46,7.79,1.27,6.52
States,New York,2019,47,2018,37,29,3.27,1.83,1.44
States,Colorado,2019,48,737,13,88,13.7,1.76,11.94
States,New York,2019,48,2021,58,54,5.54,2.87,2.67
States,Colorado,2019,49,880,29,97,14.32,3.3,11.02
States,New York,2019,49,2335,89,79,7.19,3.81,3.38
States,Colorado,2019,50,925,33,145,19.24,3.57,15.68
States,New York,2019,50,2533,148,171,12.59,5.84,6.75
States,Colorado,2019,51,1206,65,253,26.37,5.39,20.98
States,New York,2019,51,2947,208,217,14.42,7.06,7.36
States,Colorado,2019,52,1065,74,217,27.32,6.95,20.38
States,New York,2019,52,3022,327,389,23.69,10.82,12.87
States,Colorado,2020,1,1367,108,255,26.55,7.9,18.65
States,New York,2020,1,3795,378,477,22.53,9.96,12.57
States,Colorado,2020,2,1200,125,184,25.75,10.42,15.33
States,New York,2020,2,3828,424,417,21.97,11.08,10.89
States,Colorado,2020,3,1359,189,197,28.4,13.91,14.5
States,New York,2020,3,3805,501,406,23.84,13.17,10.67
States,Colorado,2020,4,1435,244,202,31.08,17,14.08
States,New York,2020,4,3789,543,444,26.05,14.33,11.72
States,Colorado,2020,5,1472,271,158,29.14,18.41,10.73
States,New York,2020,5,4085,641,477,27.37,15.69,11.68
States,Colorado,2020,6,1463,357,120,32.6,24.4,8.2
States,New York,2020,6,3909,628,510,29.11,16.07,13.05
States,Colorado,2020,7,1509,304,108,27.3,20.15,7.16
States,New York,2020,7,3903,671,351,26.18,17.19,8.99
States,Colorado,2020,8,1366,279,81,26.35,20.42,5.93
States,New York,2020,8,3441,542,253,23.1,15.75,7.35
States,Colorado,2020,9,1314,226,54,21.31,17.2,4.11
States,New York,2020,9,3692,594,233,22.4,16.09,6.31
States,Colorado,2020,10,1344,214,34,18.45,15.92,2.53
States,New York,2020,10,3587,445,138,16.25,12.41,3.85
States,Colorado,2020,11,2099,212,29,11.48,10.1,1.38
States,New York,2020,11,3604,377,100,13.24,10.46,2.77
States,Colorado,2020,12,2898,119,17,4.69,4.11,0.59
States,New York,2020,12,3798,191,63,6.69,5.03,1.66
States,Colorado,2020,13,1733,25,1,1.5,1.44,0.06
States,New York,2020,13,2381,31,10,1.72,1.3,0.42
States,Colorado,2020,14,1113,1,1,0.18,0.09,0.09
States,New York,2020,14,1491,8,7,1.01,0.54,0.47
States,Colorado,2020,15,839,0,0,0,0,0
States,New York,2020,15,894,0,0,0,0,0
States,Colorado,2020,16,734,1,1,0.27,0.14,0.14
States,New York,2020,16,547,0,0,0,0,0
States,Colorado,2020,17,711,2,1,0.42,0.28,0.14
States,New York,2020,17,448,1,0,0.22,0.22,0
States,Colorado,2020,18,600,0,0,0,0,0
States,New York,2020,18,412,0,0,0,0,0
States,Colorado,2020,19,543,0,0,0,0,0
