PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Colorado,2011,18,X,0.759519,X,X,X,X,X,X,151,12,19881
States,New York,2011,18,X,1.66576,X,X,X,X,X,X,153,78,9185
States,Colorado,2011,19,X,0.604343,X,X,X,X,X,X,113,12,18698
States,New York,2011,19,X,1.72106,X,X,X,X,X,X,164,74,9529
States,Colorado,2011,20,X,0.627459,X,X,X,X,X,X,118,12,18806
States,New York,2011,20,X,0.703443,X,X,X,X,X,X,57,73,8103
States,Colorado,2011,21,X,0.59322,X,X,X,X,X,X,112,12,18880
States,New York,2011,21,X,1.56349,X,X,X,X,X,X,99,61,6332
States,Colorado,2011,22,X,0.55124,X,X,X,X,X,X,88,12,15964
States,New York,2011,22,X,1.77814,X,X,X,X,X,X,88,62,4949
States,Colorado,2011,23,X,0.433862,X,X,X,X,X,X,84,12,19361
States,New York,2011,23,X,0.14752,X,X,X,X,X,X,8,60,5423
States,Colorado,2011,24,X,0.372321,X,X,X,X,X,X,70,12,18801
States,New York,2011,24,X,0.0909091,X,X,X,X,X,X,5,60,5500
States,Colorado,2011,25,X,0.310244,X,X,X,X,X,X,55,11,17728
States,New York,2011,25,X,0.134901,X,X,X,X,X,X,7,60,5189
States,Colorado,2011,26,X,0.250892,X,X,X,X,X,X,45,11,17936
States,New York,2011,26,X,0.13616,X,X,X,X,X,X,7,60,5141
States,Colorado,2011,27,X,0.422777,X,X,X,X,X,X,64,12,15138
States,New York,2011,27,X,0.0538358,X,X,X,X,X,X,2,59,3715
States,Colorado,2011,28,X,0.30888,X,X,X,X,X,X,56,11,18130
States,New York,2011,28,X,0.0580608,X,X,X,X,X,X,3,60,5167
States,Colorado,2011,29,X,0.406306,X,X,X,X,X,X,75,10,18459
States,New York,2011,29,X,0.145591,X,X,X,X,X,X,7,60,4808
States,Colorado,2011,30,X,0.368984,X,X,X,X,X,X,70,9,18971
States,New York,2011,30,X,0.137255,X,X,X,X,X,X,7,60,5100
States,Colorado,2011,31,X,0.479629,X,X,X,X,X,X,93,11,19390
States,New York,2011,31,X,0.17105,X,X,X,X,X,X,8,59,4677
States,Colorado,2011,32,X,0.351199,X,X,X,X,X,X,69,12,19647
States,New York,2011,32,X,0.125418,X,X,X,X,X,X,6,59,4784
States,Colorado,2011,33,X,0.392137,X,X,X,X,X,X,77,12,19636
States,New York,2011,33,X,0.131926,X,X,X,X,X,X,7,59,5306
States,Colorado,2011,34,X,0.40142,X,X,X,X,X,X,78,12,19431
States,New York,2011,34,X,0.0888099,X,X,X,X,X,X,6,59,6756
States,Colorado,2011,35,X,0.615878,X,X,X,X,X,X,119,12,19322
States,New York,2011,35,X,0.157159,X,X,X,X,X,X,10,51,6363
States,Colorado,2011,36,X,0.642398,X,X,X,X,X,X,99,12,15411
States,New York,2011,36,X,0.152759,X,X,X,X,X,X,8,51,5237
States,Colorado,2011,37,X,0.644817,X,X,X,X,X,X,121,12,18765
States,New York,2011,37,X,0.127805,X,X,X,X,X,X,9,51,7042
States,Colorado,2011,38,X,0.727571,X,X,X,X,X,X,124,10,17043
States,New York,2011,38,X,0.282595,X,X,X,X,X,X,22,52,7785
States,Colorado,2011,39,X,0.751578,X,X,X,X,X,X,131,9,17430
States,New York,2011,39,X,0.323494,X,X,X,X,X,X,24,54,7419
States,Colorado,2011,40,X,0.744344,X,X,X,X,X,X,153,11,20555
States,New York,2011,40,X,0.532345,X,X,X,X,X,X,79,108,14840
States,Colorado,2011,41,X,0.567713,X,X,X,X,X,X,117,10,20609
States,New York,2011,41,X,0.553468,X,X,X,X,X,X,81,107,14635
States,Colorado,2011,42,X,0.572413,X,X,X,X,X,X,123,11,21488
States,New York,2011,42,X,0.440685,X,X,X,X,X,X,62,101,14069
States,Colorado,2011,43,X,0.631621,X,X,X,X,X,X,127,11,20107
States,New York,2011,43,X,0.41135,X,X,X,X,X,X,59,98,14343
States,Colorado,2011,44,X,0.581424,X,X,X,X,X,X,116,10,19951
States,New York,2011,44,X,0.527118,X,X,X,X,X,X,83,109,15746
States,Colorado,2011,45,X,0.512845,X,X,X,X,X,X,108,11,21059
States,New York,2011,45,X,0.399433,X,X,X,X,X,X,62,109,15522
States,Colorado,2011,46,X,0.703834,X,X,X,X,X,X,152,9,21596
States,New York,2011,46,X,0.443537,X,X,X,X,X,X,63,99,14204
States,Colorado,2011,47,X,0.513353,X,X,X,X,X,X,84,11,16363
States,New York,2011,47,X,0.36716,X,X,X,X,X,X,36,99,9805
States,Colorado,2011,48,X,0.681719,X,X,X,X,X,X,141,11,20683
States,New York,2011,48,X,0.61654,X,X,X,X,X,X,87,97,14111
States,Colorado,2011,49,X,0.691814,X,X,X,X,X,X,137,11,19803
States,New York,2011,49,X,0.696024,X,X,X,X,X,X,101,100,14511
States,Colorado,2011,50,X,0.695644,X,X,X,X,X,X,141,11,20269
States,New York,2011,50,X,0.58086,X,X,X,X,X,X,82,101,14117
States,Colorado,2011,51,X,0.686738,X,X,X,X,X,X,125,11,18202
States,New York,2011,51,X,0.491337,X,X,X,X,X,X,57,102,11601
States,Colorado,2011,52,X,0.739672,X,X,X,X,X,X,123,9,16629
States,New York,2011,52,X,0.455005,X,X,X,X,X,X,36,96,7912
States,Colorado,2012,1,X,0.652822,X,X,X,X,X,X,127,10,19454
States,New York,2012,1,X,0.657054,X,X,X,X,X,X,72,103,10958
States,Colorado,2012,2,X,0.712891,X,X,X,X,X,X,157,11,22023
States,New York,2012,2,X,0.719363,X,X,X,X,X,X,84,100,11677
States,Colorado,2012,3,X,0.727438,X,X,X,X,X,X,160,11,21995
States,New York,2012,3,X,0.6694,X,X,X,X,X,X,80,102,11951
States,Colorado,2012,4,X,1.02699,X,X,X,X,X,X,231,11,22493
States,New York,2012,4,X,0.509789,X,X,X,X,X,X,69,100,13535
States,Colorado,2012,5,X,1.00453,X,X,X,X,X,X,213,10,21204
States,New York,2012,5,X,0.593152,X,X,X,X,X,X,88,106,14836
States,Colorado,2012,6,X,1.05944,X,X,X,X,X,X,239,11,22559
States,New York,2012,6,X,0.508223,X,X,X,X,X,X,72,105,14167
States,Colorado,2012,7,X,1.05263,X,X,X,X,X,X,243,11,23085
States,New York,2012,7,X,0.586107,X,X,X,X,X,X,81,103,13820
States,Colorado,2012,8,X,1.36395,X,X,X,X,X,X,316,11,23168
States,New York,2012,8,X,0.988678,X,X,X,X,X,X,124,102,12542
States,Colorado,2012,9,X,1.43858,X,X,X,X,X,X,343,11,23843
States,New York,2012,9,X,0.785869,X,X,X,X,X,X,109,104,13870
States,Colorado,2012,10,X,1.37062,X,X,X,X,X,X,321,10,23420
States,New York,2012,10,X,0.745669,X,X,X,X,X,X,102,106,13679
States,Colorado,2012,11,X,1.47807,X,X,X,X,X,X,340,10,23003
States,New York,2012,11,X,0.996782,X,X,X,X,X,X,127,103,12741
States,Colorado,2012,12,X,1.19068,X,X,X,X,X,X,274,11,23012
States,New York,2012,12,X,0.686682,X,X,X,X,X,X,86,96,12524
States,Colorado,2012,13,X,0.864606,X,X,X,X,X,X,188,10,21744
States,New York,2012,13,X,0.598435,X,X,X,X,X,X,78,96,13034
States,Colorado,2012,14,X,0.923766,X,X,X,X,X,X,194,11,21001
States,New York,2012,14,X,0.796178,X,X,X,X,X,X,95,99,11932
States,Colorado,2012,15,X,0.733014,X,X,X,X,X,X,156,10,21282
States,New York,2012,15,X,0.812633,X,X,X,X,X,X,88,99,10829
States,Colorado,2012,16,X,0.598441,X,X,X,X,X,X,129,11,21556
States,New York,2012,16,X,0.689763,X,X,X,X,X,X,88,96,12758
States,Colorado,2012,17,X,0.631349,X,X,X,X,X,X,133,11,21066
States,New York,2012,17,X,0.665368,X,X,X,X,X,X,82,95,12324
States,Colorado,2012,18,X,0.598802,X,X,X,X,X,X,125,11,20875
States,New York,2012,18,X,0.46507,X,X,X,X,X,X,47,76,10106
States,Colorado,2012,19,X,0.48608,X,X,X,X,X,X,99,11,20367
States,New York,2012,19,X,0.557581,X,X,X,X,X,X,52,70,9326
States,Colorado,2012,20,X,0.6247,X,X,X,X,X,X,130,11,20810
States,New York,2012,20,X,0.560839,X,X,X,X,X,X,46,72,8202
States,Colorado,2012,21,X,0.372593,X,X,X,X,X,X,77,11,20666
States,New York,2012,21,X,0.416259,X,X,X,X,X,X,34,73,8168
States,Colorado,2012,22,X,0.475391,X,X,X,X,X,X,85,11,17880
States,New York,2012,22,X,0.394802,X,X,X,X,X,X,24,68,6079
States,Colorado,2012,23,X,0.428474,X,X,X,X,X,X,88,11,20538
States,New York,2012,23,X,0.291215,X,X,X,X,X,X,18,66,6181
States,Colorado,2012,24,X,0.382495,X,X,X,X,X,X,77,11,20131
States,New York,2012,24,X,0.163845,X,X,X,X,X,X,9,61,5493
States,Colorado,2012,25,X,0.39582,X,X,X,X,X,X,75,9,18948
States,New York,2012,25,X,0.224875,X,X,X,X,X,X,13,62,5781
States,Colorado,2012,26,X,0.318319,X,X,X,X,X,X,60,9,18849
States,New York,2012,26,X,0.155581,X,X,X,X,X,X,8,61,5142
States,Colorado,2012,27,X,0.329042,X,X,X,X,X,X,57,11,17323
States,New York,2012,27,X,0.29796,X,X,X,X,X,X,13,61,4363
States,Colorado,2012,28,X,0.344321,X,X,X,X,X,X,68,11,19749
States,New York,2012,28,X,0.13872,X,X,X,X,X,X,8,62,5767
States,Colorado,2012,29,X,0.342296,X,X,X,X,X,X,69,9,20158
States,New York,2012,29,X,0.124978,X,X,X,X,X,X,7,63,5601
States,Colorado,2012,30,X,0.362629,X,X,X,X,X,X,72,9,19855
States,New York,2012,30,X,0.0886682,X,X,X,X,X,X,5,62,5639
States,Colorado,2012,31,X,0.28364,X,X,X,X,X,X,59,10,20801
States,New York,2012,31,X,0.170487,X,X,X,X,X,X,9,59,5279
States,Colorado,2012,32,X,0.295435,X,X,X,X,X,X,62,11,20986
States,New York,2012,32,X,0.092302,X,X,X,X,X,X,5,59,5417
States,Colorado,2012,33,X,0.334806,X,X,X,X,X,X,72,11,21505
States,New York,2012,33,X,0.125045,X,X,X,X,X,X,7,61,5598
States,Colorado,2012,34,X,0.447606,X,X,X,X,X,X,95,11,21224
States,New York,2012,34,X,0.0612089,X,X,X,X,X,X,4,61,6535
States,Colorado,2012,35,X,0.508083,X,X,X,X,X,X,110,10,21650
States,New York,2012,35,X,0.083692,X,X,X,X,X,X,7,61,8364
States,Colorado,2012,36,X,0.509824,X,X,X,X,X,X,89,11,17457
States,New York,2012,36,X,0.117768,X,X,X,X,X,X,8,62,6793
States,Colorado,2012,37,X,0.465295,X,X,X,X,X,X,97,10,20847
States,New York,2012,37,X,0.173953,X,X,X,X,X,X,15,61,8623
States,Colorado,2012,38,X,0.472835,X,X,X,X,X,X,102,11,21572
States,New York,2012,38,X,0.108998,X,X,X,X,X,X,9,62,8257
States,Colorado,2012,39,X,0.627645,X,X,X,X,X,X,132,10,21031
States,New York,2012,39,X,0.283052,X,X,X,X,X,X,24,60,8479
States,Colorado,2012,40,X,0.503232,X,X,X,X,X,X,102,11,20269
States,New York,2012,40,X,0.293219,X,X,X,X,X,X,48,211,16370
States,Colorado,2012,41,X,0.555582,X,X,X,X,X,X,115,11,20699
States,New York,2012,41,X,0.572891,X,X,X,X,X,X,94,213,16408
States,Colorado,2012,42,X,0.465602,X,X,X,X,X,X,98,11,21048
States,New York,2012,42,X,1.00283,X,X,X,X,X,X,156,211,15556
States,Colorado,2012,43,X,0.490101,X,X,X,X,X,X,101,11,20608
States,New York,2012,43,X,0.778846,X,X,X,X,X,X,124,206,15921
States,Colorado,2012,44,X,0.59501,X,X,X,X,X,X,124,10,20840
States,New York,2012,44,X,0.633484,X,X,X,X,X,X,84,205,13260
States,Colorado,2012,45,X,0.633262,X,X,X,X,X,X,137,10,21634
States,New York,2012,45,X,0.832931,X,X,X,X,X,X,138,209,16568
States,Colorado,2012,46,X,0.748448,X,X,X,X,X,X,164,11,21912
States,New York,2012,46,X,0.991707,X,X,X,X,X,X,171,211,17243
States,Colorado,2012,47,X,0.88736,X,X,X,X,X,X,147,10,16566
States,New York,2012,47,X,1.70477,X,X,X,X,X,X,176,209,10324
States,Colorado,2012,48,X,1.01563,X,X,X,X,X,X,230,11,22646
States,New York,2012,48,X,1.67709,X,X,X,X,X,X,260,210,15503
States,Colorado,2012,49,X,1.41383,X,X,X,X,X,X,300,11,21219
States,New York,2012,49,X,2.11123,X,X,X,X,X,X,380,211,17999
States,Colorado,2012,50,X,1.86206,X,X,X,X,X,X,402,10,21589
States,New York,2012,50,X,3.03139,X,X,X,X,X,X,506,212,16692
States,Colorado,2012,51,X,2.63295,X,X,X,X,X,X,556,10,21117
States,New York,2012,51,X,3.62908,X,X,X,X,X,X,562,209,15486
States,Colorado,2012,52,X,2.9987,X,X,X,X,X,X,483,11,16107
States,New York,2012,52,X,5.95238,X,X,X,X,X,X,475,207,7980
States,Colorado,2013,1,X,2.65444,X,X,X,X,X,X,492,10,18535
States,New York,2013,1,X,3.99638,X,X,X,X,X,X,397,207,9934
States,Colorado,2013,2,X,2.97167,X,X,X,X,X,X,705,11,23724
States,New York,2013,2,X,4.13807,X,X,X,X,X,X,627,209,15152
States,Colorado,2013,3,X,3.87965,X,X,X,X,X,X,891,11,22966
States,New York,2013,3,X,4.53812,X,X,X,X,X,X,647,210,14257
States,Colorado,2013,4,X,3.32689,X,X,X,X,X,X,757,11,22754
States,New York,2013,4,X,4.06893,X,X,X,X,X,X,621,206,15262
States,Colorado,2013,5,X,2.90437,X,X,X,X,X,X,687,9,23654
States,New York,2013,5,X,2.9484,X,X,X,X,X,X,468,207,15873
States,Colorado,2013,6,X,2.54059,X,X,X,X,X,X,593,10,23341
States,New York,2013,6,X,2.7859,X,X,X,X,X,X,419,202,15040
States,Colorado,2013,7,X,1.90076,X,X,X,X,X,X,434,11,22833
States,New York,2013,7,X,3.39217,X,X,X,X,X,X,540,203,15919
States,Colorado,2013,8,X,1.73183,X,X,X,X,X,X,396,11,22866
States,New York,2013,8,X,3.48492,X,X,X,X,X,X,551,214,15811
States,Colorado,2013,9,X,1.44617,X,X,X,X,X,X,331,11,22888
States,New York,2013,9,X,2.67505,X,X,X,X,X,X,434,212,16224
States,Colorado,2013,10,X,1.11722,X,X,X,X,X,X,262,11,23451
States,New York,2013,10,X,2.38434,X,X,X,X,X,X,369,208,15476
States,Colorado,2013,11,X,1.02991,X,X,X,X,X,X,229,11,22235
States,New York,2013,11,X,2.70502,X,X,X,X,X,X,378,206,13974
States,Colorado,2013,12,X,0.697425,X,X,X,X,X,X,156,11,22368
States,New York,2013,12,X,2.2772,X,X,X,X,X,X,289,195,12691
States,Colorado,2013,13,X,0.701403,X,X,X,X,X,X,147,10,20958
States,New York,2013,13,X,1.6205,X,X,X,X,X,X,179,187,11046
States,Colorado,2013,14,X,0.6436,X,X,X,X,X,X,133,10,20665
States,New York,2013,14,X,1.58092,X,X,X,X,X,X,173,185,10943
States,Colorado,2013,15,X,0.541377,X,X,X,X,X,X,112,11,20688
States,New York,2013,15,X,1.33984,X,X,X,X,X,X,162,184,12091
States,Colorado,2013,16,X,0.562016,X,X,X,X,X,X,116,11,20640
States,New York,2013,16,X,1.47142,X,X,X,X,X,X,183,183,12437
States,Colorado,2013,17,X,0.567389,X,X,X,X,X,X,122,11,21502
States,New York,2013,17,X,1.19106,X,X,X,X,X,X,146,183,12258
States,Colorado,2013,18,X,0.590158,X,X,X,X,X,X,130,11,22028
States,New York,2013,18,X,0.979474,X,X,X,X,X,X,115,181,11741
States,Colorado,2013,19,X,0.583766,X,X,X,X,X,X,126,11,21584
States,New York,2013,19,X,0.859476,X,X,X,X,X,X,100,177,11635
States,Colorado,2013,20,X,0.47352,X,X,X,X,X,X,103,10,21752
States,New York,2013,20,X,0.830614,X,X,X,X,X,X,84,175,10113
States,Colorado,2013,21,X,0.488355,X,X,X,X,X,X,104,11,21296
States,New York,2013,21,X,0.678931,X,X,X,X,X,X,62,179,9132
States,Colorado,2013,22,X,0.425671,X,X,X,X,X,X,78,11,18324
States,New York,2013,22,X,1.19891,X,X,X,X,X,X,88,178,7340
States,Colorado,2013,23,X,0.365385,X,X,X,X,X,X,76,11,20800
States,New York,2013,23,X,0.893277,X,X,X,X,X,X,76,178,8508
States,Colorado,2013,24,X,0.478446,X,X,X,X,X,X,98,11,20483
States,New York,2013,24,X,0.881857,X,X,X,X,X,X,68,177,7711
States,Colorado,2013,25,X,0.330897,X,X,X,X,X,X,67,10,20248
States,New York,2013,25,X,0.564902,X,X,X,X,X,X,46,176,8143
States,Colorado,2013,26,X,0.406032,X,X,X,X,X,X,84,10,20688
States,New York,2013,26,X,0.606616,X,X,X,X,X,X,53,176,8737
States,Colorado,2013,27,X,0.344598,X,X,X,X,X,X,57,11,16541
States,New York,2013,27,X,0.826295,X,X,X,X,X,X,45,176,5446
States,Colorado,2013,28,X,0.386941,X,X,X,X,X,X,80,11,20675
States,New York,2013,28,X,0.635846,X,X,X,X,X,X,48,174,7549
States,Colorado,2013,29,X,0.353756,X,X,X,X,X,X,72,10,20353
States,New York,2013,29,X,0.449186,X,X,X,X,X,X,40,174,8905
States,Colorado,2013,30,X,0.469275,X,X,X,X,X,X,95,9,20244
States,New York,2013,30,X,0.784753,X,X,X,X,X,X,56,173,7136
States,Colorado,2013,31,X,0.362609,X,X,X,X,X,X,77,10,21235
States,New York,2013,31,X,0.43209,X,X,X,X,X,X,30,175,6943
States,Colorado,2013,32,X,0.493225,X,X,X,X,X,X,91,8,18450
States,New York,2013,32,X,0.561798,X,X,X,X,X,X,40,173,7120
States,Colorado,2013,33,X,0.448604,X,X,X,X,X,X,93,11,20731
States,New York,2013,33,X,0.367747,X,X,X,X,X,X,27,173,7342
States,Colorado,2013,34,X,0.45863,X,X,X,X,X,X,98,11,21368
States,New York,2013,34,X,0.455093,X,X,X,X,X,X,34,173,7471
States,Colorado,2013,35,0,0,X,X,X,X,X,X,0,0,0
States,New York,2013,35,X,0.396396,X,X,X,X,X,X,33,170,8325
States,Colorado,2013,36,X,0.739927,X,X,X,X,X,X,128,11,17299
States,New York,2013,36,X,0.347315,X,X,X,X,X,X,26,163,7486
States,Colorado,2013,37,X,0.623053,X,X,X,X,X,X,124,10,19902
States,New York,2013,37,X,0.32359,X,X,X,X,X,X,30,163,9271
States,Colorado,2013,38,X,0.606296,X,X,X,X,X,X,125,10,20617
States,New York,2013,38,X,0.38431,X,X,X,X,X,X,29,133,7546
States,Colorado,2013,39,X,0.584323,X,X,X,X,X,X,123,9,21050
States,New York,2013,39,X,0.266016,X,X,X,X,X,X,24,137,9022
States,Colorado,2013,40,X,0.652244,X,X,X,X,X,X,142,9,21771
States,New York,2013,40,X,0.582589,X,X,X,X,X,X,88,137,15105
States,Colorado,2013,41,X,0.618727,X,X,X,X,X,X,135,11,21819
States,New York,2013,41,X,0.552562,X,X,X,X,X,X,81,139,14659
States,Colorado,2013,42,X,0.513635,X,X,X,X,X,X,110,10,21416
States,New York,2013,42,X,0.573782,X,X,X,X,X,X,85,141,14814
States,Colorado,2013,43,X,0.76778,X,X,X,X,X,X,171,10,22272
States,New York,2013,43,X,0.753849,X,X,X,X,X,X,118,140,15653
States,Colorado,2013,44,X,0.547727,X,X,X,X,X,X,117,10,21361
States,New York,2013,44,X,0.719563,X,X,X,X,X,X,112,145,15565
States,Colorado,2013,45,X,0.679462,X,X,X,X,X,X,154,10,22665
States,New York,2013,45,X,0.850487,X,X,X,X,X,X,138,144,16226
States,Colorado,2013,46,X,0.593258,X,X,X,X,X,X,132,9,22250
States,New York,2013,46,X,0.809817,X,X,X,X,X,X,130,143,16053
States,Colorado,2013,47,X,0.754498,X,X,X,X,X,X,169,9,22399
States,New York,2013,47,X,0.915243,X,X,X,X,X,X,142,143,15515
States,Colorado,2013,48,X,0.725176,X,X,X,X,X,X,127,11,17513
States,New York,2013,48,X,0.990182,X,X,X,X,X,X,118,157,11917
States,Colorado,2013,49,X,1.3374,X,X,X,X,X,X,276,10,20637
States,New York,2013,49,X,0.958767,X,X,X,X,X,X,173,158,18044
States,Colorado,2013,50,X,1.47079,X,X,X,X,X,X,316,11,21485
States,New York,2013,50,X,1.03744,X,X,X,X,X,X,174,159,16772
States,Colorado,2013,51,X,1.9853,X,X,X,X,X,X,443,11,22314
States,New York,2013,51,X,1.35515,X,X,X,X,X,X,193,145,14242
States,Colorado,2013,52,X,2.89192,X,X,X,X,X,X,468,11,16183
States,New York,2013,52,X,2.99457,X,X,X,X,X,X,259,152,8649
States,Colorado,2014,1,X,2.83499,X,X,X,X,X,X,512,9,18060
States,New York,2014,1,X,2.97304,X,X,X,X,X,X,258,152,8678
States,Colorado,2014,2,X,2.41081,X,X,X,X,X,X,571,10,23685
States,New York,2014,2,X,1.99698,X,X,X,X,X,X,278,153,13921
States,Colorado,2014,3,X,2.02414,X,X,X,X,X,X,488,11,24109
States,New York,2014,3,X,2.80846,X,X,X,X,X,X,450,153,16023
States,Colorado,2014,4,X,1.79752,X,X,X,X,X,X,424,11,23588
States,New York,2014,4,X,2.91725,X,X,X,X,X,X,459,154,15734
States,Colorado,2014,5,X,1.65351,X,X,X,X,X,X,377,10,22800
States,New York,2014,5,X,3.13798,X,X,X,X,X,X,574,157,18292
States,Colorado,2014,6,X,1.59832,X,X,X,X,X,X,357,11,22336
States,New York,2014,6,X,3.65359,X,X,X,X,X,X,586,162,16039
States,Colorado,2014,7,X,1.25705,X,X,X,X,X,X,292,11,23229
States,New York,2014,7,X,2.90014,X,X,X,X,X,X,449,163,15482
States,Colorado,2014,8,X,0.978969,X,X,X,X,X,X,236,11,24107
States,New York,2014,8,X,1.88879,X,X,X,X,X,X,304,164,16095
States,Colorado,2014,9,X,1.05669,X,X,X,X,X,X,263,11,24889
States,New York,2014,9,X,1.54231,X,X,X,X,X,X,271,163,17571
States,Colorado,2014,10,X,0.922708,X,X,X,X,X,X,223,11,24168
States,New York,2014,10,X,1.78227,X,X,X,X,X,X,296,160,16608
States,Colorado,2014,11,X,0.923341,X,X,X,X,X,X,215,11,23285
States,New York,2014,11,X,1.9047,X,X,X,X,X,X,277,151,14543
States,Colorado,2014,12,X,0.669817,X,X,X,X,X,X,163,11,24335
States,New York,2014,12,X,2.19795,X,X,X,X,X,X,338,151,15378
States,Colorado,2014,13,X,0.635988,X,X,X,X,X,X,140,11,22013
States,New York,2014,13,X,2.73789,X,X,X,X,X,X,471,151,17203
States,Colorado,2014,14,X,0.644122,X,X,X,X,X,X,144,11,22356
States,New York,2014,14,X,3.06605,X,X,X,X,X,X,460,148,15003
States,Colorado,2014,15,X,0.668198,X,X,X,X,X,X,160,11,23945
States,New York,2014,15,X,3.09776,X,X,X,X,X,X,501,143,16173
