REGION,YEAR,WEEK,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max† ","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis B, perinatal infection, Cum 2018†","Hepatitis B, perinatal infection, Cum 2018†, flag","Hepatitis C (viral, acute)§, Confirmed, Current week","Hepatitis C (viral, acute)§, Confirmed, Current week, flag","Hepatitis C (viral, acute), Confirmed, Previous 52 weeks Max","Hepatitis C (viral, acute)§, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†, flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†, flag","Hepatitis C (viral, acute)§,  Probable, Current week","Hepatitis C (viral, acute)§, Probable, Current week, flag","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† ","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Probable, Cum 2019†","Hepatitis C (viral, acute)§, Probable, Cum 2019†, flag","Hepatitis C (viral, acute)§, Probable, Cum 2018†","Hepatitis C (viral, acute)§, Probable, Cum 2018†, flag",Location 1,Location 2,,,,
NEW MEXICO,2021,8,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20210854,POINT (-106.108388 34.421369),616,11
UTAH,2021,8,,-,0,,,-,,-,,-,5,,11,,18,,2,,5,,17,,2,,UTAH,,20210855,POINT (-111.678222 39.323779),900,13
WYOMING,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20210856,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,8,,-,1,,,-,,-,1,,7,,7,,42,,,-,3,,3,,8,,,PACIFIC,20210857,,,
ALASKA,2021,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20210858,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,8,,-,1,,,-,,-,,-,3,,1,,25,,,-,1,,,-,5,,CALIFORNIA,,20210859,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20210860,POINT (-157.854309 21.361013),1657,4
OREGON,2021,8,,-,0,,,-,,-,1,,4,,4,,7,,,-,2,,3,,1,,OREGON,,20210861,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,8,,-,0,,,-,,-,,-,3,,2,,10,,,-,1,,,-,2,,WASHINGTON,,20210862,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210863,,,
AMERICAN SAMOA,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210864,,,
NORTHERN MARIANA ISLANDS,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210865,POINT (145.725693 15.1834),,
GUAM,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210866,POINT (144.653198 13.3532),,
PUERTO RICO,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210867,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210868,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20210869,,,
TOTAL,2021,8,,-,2,,,-,1,,9,,74,,115,,703,,5,,24,,75,,188,,,TOTAL,20210870,,,
US RESIDENTS,2021,9,,-,2,,,-,2,,5,,77,,140,,781,,8,,24,,83,,210,,,US RESIDENTS,20210901,,,
NEW ENGLAND,2021,9,,-,1,,,-,,-,1,,9,,19,,34,,1,,5,,8,,9,,,NEW ENGLAND,20210902,,,
CONNECTICUT,2021,9,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,CONNECTICUT,,20210903,POINT (-72.738288 41.575155),1043,24
MAINE,2021,9,,-,0,,,-,,-,1,,9,,19,,28,,1,,3,,8,,6,,MAINE,,20210904,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,9,,-,1,,,-,,-,,-,0,,,-,2,,,-,0,,,-,,-,MASSACHUSETTS,,20210905,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,9,,-,0,,,-,,-,,-,1,,,-,2,,,-,2,,,-,3,,NEW HAMPSHIRE,,20210906,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,9,,U,,NC,,U,,U,,U,,NC,,U,,U,,U,,NC,,U,,U,RHODE ISLAND,,20210907,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,VERMONT,,20210908,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,9,,-,2,,,-,1,,2,,22,,9,,94,,,-,8,,2,,17,,,MIDDLE ATLANTIC,20210909,,,
NEW JERSEY,2021,9,,-,0,,,-,,-,,-,2,,,-,30,,,-,0,,,-,2,,NEW JERSEY,,20210910,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,9,,-,2,,,-,1,,1,,17,,6,,25,,,-,5,,2,,4,,NEW YORK,,20210911,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,9,,-,0,,,-,,-,,-,7,,,-,7,,,-,4,,,-,7,,,NEW YORK CITY,20210912,,,
PENNSYLVANIA,2021,9,,-,1,,,-,,-,1,,8,,3,,32,,,-,2,,,-,4,,PENNSYLVANIA,,20210913,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,9,,-,1,,,-,1,,1,,19,,16,,174,,,-,5,,7,,32,,,EAST NORTH CENTRAL,20210914,,,
ILLINOIS,2021,9,,-,0,,,-,,-,,-,3,,,-,23,,,-,2,,1,,2,,ILLINOIS,,20210915,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,9,,-,1,,,-,,-,,-,10,,,-,50,,,-,1,,,-,6,,INDIANA,,20210916,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,9,,-,0,,,-,,-,,-,5,,4,,27,,,-,2,,3,,9,,MICHIGAN,,20210917,POINT (-85.730977 44.874798),1262,50
OHIO,2021,9,,-,0,,,-,1,,,-,10,,6,,63,,,-,3,,3,,15,,OHIO,,20210918,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,9,,-,0,,,-,,-,1,,4,,6,,11,,,-,1,,,-,,-,WISCONSIN,,20210919,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,9,,-,0,,,-,,-,,-,5,,,-,29,,,-,2,,,-,4,,,WEST NORTH CENTRAL,20210920,,,
IOWA,2021,9,,-,0,,,-,,-,,-,2,,,-,4,,,-,0,,,-,,-,IOWA,,20210921,POINT (-93.500061 42.074659),299,16
KANSAS,2021,9,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,,-,1,,KANSAS,,20210922,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,9,,-,0,,,-,,-,,-,3,,,-,13,,,-,1,,,-,1,,MINNESOTA,,20210923,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,9,,-,0,,,-,,-,,-,2,,,-,7,,,-,0,,,-,,-,MISSOURI,,20210924,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,2,,,-,1,,NEBRASKA,,20210925,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20210926,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,9,,-,0,,,-,,-,,-,0,,,-,3,,,-,1,,,-,1,,SOUTH DAKOTA,,20210927,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,9,,-,1,,,-,,-,,-,15,,5,,259,,,-,7,,2,,88,,,SOUTH ATLANTIC,20210928,,,
DELAWARE,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20210929,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,9,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210930,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,9,,-,0,,,-,,-,,-,5,,,-,150,,,-,1,,,-,48,,FLORIDA,,20210931,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,9,,-,1,,,-,,-,,-,5,,3,,30,,,-,4,,1,,12,,GEORGIA,,20210932,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,9,,-,1,,,-,,-,,-,2,,,-,13,,,-,1,,,-,3,,MARYLAND,,20210933,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,9,,-,0,,,-,,-,,-,3,,,-,28,,,-,2,,,-,6,,NORTH CAROLINA,,20210934,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,9,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,1,,SOUTH CAROLINA,,20210935,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,9,,-,0,,,-,,-,,-,3,,,-,11,,,-,2,,1,,4,,VIRGINIA,,20210936,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,9,,-,0,,,-,,-,,-,9,,2,,26,,,-,5,,,-,14,,WEST VIRGINIA,,20210937,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,9,,-,0,,,-,,-,,-,12,,14,,76,,4,,8,,26,,40,,,EAST SOUTH CENTRAL,20210938,,,
ALABAMA,2021,9,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,1,,1,,ALABAMA,,20210939,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,9,,-,0,,,-,,-,,-,10,,14,,21,,4,,6,,15,,20,,KENTUCKY,,20210940,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,9,,-,0,,,-,,-,,-,3,,,-,16,,,-,3,,10,,2,,MISSISSIPPI,,20210941,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,9,,-,0,,,-,,-,,-,6,,,-,37,,,-,4,,,-,17,,TENNESSEE,,20210942,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,9,,-,1,,,-,,-,,-,41,,58,,42,,,-,8,,13,,6,,,WEST SOUTH CENTRAL,20210943,,,
ARKANSAS,2021,9,,-,0,,,-,,-,,-,6,,4,,5,,,-,6,,13,,4,,ARKANSAS,,20210944,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,9,,-,1,,,-,,-,,-,39,,53,,31,,,-,1,,,-,1,,LOUISIANA,,20210945,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,9,,-,0,,,-,,-,,-,5,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20210946,POINT (-97.508297 35.583449),712,20
TEXAS,2021,9,,-,1,,,-,,-,,-,1,,1,,6,,,-,2,,,-,1,,TEXAS,,20210947,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,9,,-,0,,,-,,-,,-,6,,11,,27,,2,,5,,20,,6,,,MOUNTAIN,20210948,,,
ARIZONA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20210949,POINT (-111.664616 34.293239),987,7
COLORADO,2021,9,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,COLORADO,,20210950,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,9,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,IDAHO,,20210951,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,9,,-,0,,,-,,-,,-,3,,,-,1,,,-,0,,,-,1,,MONTANA,,20210952,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,9,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,,-,NEVADA,,20210953,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,9,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20210954,POINT (-106.108388 34.421369),616,11
UTAH,2021,9,,-,0,,,-,,-,,-,5,,11,,20,,2,,5,,20,,5,,UTAH,,20210955,POINT (-111.678222 39.323779),900,13
WYOMING,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20210956,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,9,,-,1,,,-,,-,1,,7,,8,,46,,1,,3,,5,,8,,,PACIFIC,20210957,,,
ALASKA,2021,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20210958,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,9,,-,1,,,-,,-,,-,3,,1,,27,,,-,1,,,-,5,,CALIFORNIA,,20210959,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20210960,POINT (-157.854309 21.361013),1657,4
OREGON,2021,9,,-,0,,,-,,-,1,,4,,5,,8,,1,,2,,4,,1,,OREGON,,20210961,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,9,,-,0,,,-,,-,,-,3,,2,,11,,,-,1,,1,,2,,WASHINGTON,,20210962,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210963,,,
AMERICAN SAMOA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210964,,,
NORTHERN MARIANA ISLANDS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210965,POINT (145.725693 15.1834),,
GUAM,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210966,POINT (144.653198 13.3532),,
PUERTO RICO,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210967,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210968,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20210969,,,
TOTAL,2021,9,,-,2,,,-,2,,5,,77,,140,,781,,8,,24,,83,,210,,,TOTAL,20210970,,,
US RESIDENTS,2021,10,,-,1,,1,,3,,5,,153,,288,,1008,,5,,35,,94,,244,,,US RESIDENTS,20211001,,,
NEW ENGLAND,2021,10,,-,1,,,-,,-,,-,9,,22,,40,,3,,5,,10,,12,,,NEW ENGLAND,20211002,,,
CONNECTICUT,2021,10,,-,0,,,-,,-,,-,1,,,-,3,,,-,0,,,-,,-,CONNECTICUT,,20211003,POINT (-72.738288 41.575155),1043,24
MAINE,2021,10,,-,0,,,-,,-,,-,9,,21,,33,,3,,3,,10,,7,,MAINE,,20211004,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,10,,-,1,,,-,,-,,-,0,,,-,2,,,-,0,,,-,,-,MASSACHUSETTS,,20211005,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,10,,-,0,,,-,,-,,-,1,,1,,2,,,-,2,,,-,5,,NEW HAMPSHIRE,,20211006,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,10,,U,,NC,,U,,U,,U,,NC,,U,,U,,U,,NC,,U,,U,RHODE ISLAND,,20211007,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,10,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,VERMONT,,20211008,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,10,,-,1,,,-,1,,1,,22,,10,,107,,,-,6,,2,,25,,,MIDDLE ATLANTIC,20211009,,,
NEW JERSEY,2021,10,,-,0,,,-,,-,,-,2,,,-,31,,,-,0,,,-,2,,NEW JERSEY,,20211010,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,10,,-,0,,,-,1,,1,,17,,6,,27,,,-,6,,2,,7,,NEW YORK,,20211011,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,10,,-,0,,,-,,-,,-,0,,,-,14,,,-,0,,,-,11,,,NEW YORK CITY,20211012,,,
PENNSYLVANIA,2021,10,,-,1,,,-,,-,,-,7,,4,,35,,,-,1,,,-,5,,PENNSYLVANIA,,20211013,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,10,,-,1,,,-,1,,,-,19,,18,,203,,,-,5,,10,,32,,,EAST NORTH CENTRAL,20211014,,,
ILLINOIS,2021,10,,-,0,,,-,,-,,-,3,,,-,23,,,-,2,,1,,2,,ILLINOIS,,20211015,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,10,,-,1,,,-,,-,,-,13,,,-,58,,,-,1,,,-,6,,INDIANA,,20211016,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,10,,-,0,,,-,,-,,-,5,,6,,34,,,-,2,,2,,7,,MICHIGAN,,20211017,POINT (-85.730977 44.874798),1262,50
OHIO,2021,10,,-,0,,,-,1,,,-,6,,6,,74,,,-,3,,7,,17,,OHIO,,20211018,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,10,,-,0,,,-,,-,,-,4,,6,,14,,,-,1,,,-,,-,WISCONSIN,,20211019,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,10,,-,0,,,-,,-,,-,5,,8,,33,,,-,2,,,-,4,,,WEST NORTH CENTRAL,20211020,,,
IOWA,2021,10,,-,0,,,-,,-,,-,2,,3,,4,,,-,0,,,-,,-,IOWA,,20211021,POINT (-93.500061 42.074659),299,16
KANSAS,2021,10,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,1,,KANSAS,,20211022,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,10,,-,0,,,-,,-,,-,3,,,-,15,,,-,1,,,-,1,,MINNESOTA,,20211023,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,10,,-,0,,,-,,-,,-,2,,,-,8,,,-,0,,,-,,-,MISSOURI,,20211024,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,10,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,1,,NEBRASKA,,20211025,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20211026,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,10,,-,0,,,-,,-,,-,2,,5,,3,,,-,1,,,-,1,,SOUTH DAKOTA,,20211027,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,10,,-,1,,,-,1,,,-,107,,121,,416,,,-,22,,10,,103,,,SOUTH ATLANTIC,20211028,,,
DELAWARE,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20211029,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,10,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20211030,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,10,,-,0,,,-,,-,,-,104,,116,,295,,,-,17,,8,,62,,FLORIDA,,20211031,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,10,,-,1,,,-,,-,,-,5,,3,,31,,,-,4,,1,,12,,GEORGIA,,20211032,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,10,,-,0,,,-,1,,,-,2,,,-,14,,,-,1,,,-,3,,MARYLAND,,20211033,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,10,,-,0,,,-,,-,,-,3,,,-,31,,,-,2,,,-,6,,NORTH CAROLINA,,20211034,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,10,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,1,,SOUTH CAROLINA,,20211035,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,10,,-,0,,,-,,-,,-,2,,,-,14,,,-,2,,1,,4,,VIRGINIA,,20211036,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,10,,-,0,,,-,,-,,-,9,,2,,30,,,-,5,,,-,15,,WEST VIRGINIA,,20211037,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,10,,-,0,,,-,,-,,-,12,,23,,80,,1,,8,,31,,46,,,EAST SOUTH CENTRAL,20211038,,,
ALABAMA,2021,10,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,1,,1,,ALABAMA,,20211039,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,10,,-,0,,,-,,-,,-,10,,16,,23,,,-,6,,15,,24,,KENTUCKY,,20211040,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,10,,-,0,,,-,,-,,-,3,,,-,17,,,-,3,,10,,3,,MISSISSIPPI,,20211041,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,10,,-,0,,,-,,-,,-,6,,7,,38,,1,,4,,5,,18,,TENNESSEE,,20211042,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,10,,-,1,,,-,,-,2,,41,,62,,44,,,-,9,,8,,7,,,WEST SOUTH CENTRAL,20211043,,,
ARKANSAS,2021,10,,-,0,,,-,,-,,-,6,,5,,6,,,-,6,,8,,4,,ARKANSAS,,20211044,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,10,,-,1,,,-,,-,2,,39,,56,,31,,,-,1,,,-,1,,LOUISIANA,,20211045,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,10,,-,0,,,-,,-,,-,5,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20211046,POINT (-97.508297 35.583449),712,20
TEXAS,2021,10,,-,1,,,-,,-,,-,1,,1,,7,,,-,2,,,-,2,,TEXAS,,20211047,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,10,,-,0,,,-,,-,2,,6,,18,,32,,1,,4,,20,,7,,,MOUNTAIN,20211048,,,
ARIZONA,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20211049,POINT (-111.664616 34.293239),987,7
COLORADO,2021,10,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,COLORADO,,20211050,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,10,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,IDAHO,,20211051,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,10,,-,0,,,-,,-,,-,2,,,-,4,,,-,0,,,-,1,,MONTANA,,20211052,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,10,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,,-,NEVADA,,20211053,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,10,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20211054,POINT (-106.108388 34.421369),616,11
UTAH,2021,10,,-,0,,,-,,-,2,,5,,18,,22,,1,,4,,20,,6,,UTAH,,20211055,POINT (-111.678222 39.323779),900,13
WYOMING,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20211056,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,10,,-,1,,1,,,-,,-,6,,6,,53,,,-,3,,3,,8,,,PACIFIC,20211057,,,
ALASKA,2021,10,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20211058,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,10,,-,1,,1,,,-,,-,3,,1,,28,,,-,1,,,-,5,,CALIFORNIA,,20211059,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20211060,POINT (-157.854309 21.361013),1657,4
OREGON,2021,10,,-,0,,,-,,-,,-,3,,3,,12,,,-,1,,2,,1,,OREGON,,20211061,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,10,,-,0,,,-,,-,,-,3,,2,,13,,,-,2,,1,,2,,WASHINGTON,,20211062,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20211063,,,
AMERICAN SAMOA,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211064,,,
NORTHERN MARIANA ISLANDS,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211065,POINT (145.725693 15.1834),,
GUAM,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20211066,POINT (144.653198 13.3532),,
PUERTO RICO,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211067,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211068,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20211069,,,
TOTAL,2021,10,,-,1,,1,,3,,5,,153,,288,,1008,,5,,35,,94,,244,,,TOTAL,20211070,,,
US RESIDENTS,2021,11,,-,1,,1,,4,,7,,162,,395,,1090,,15,,35,,126,,273,,,US RESIDENTS,20211101,,,
NEW ENGLAND,2021,11,,-,1,,,-,,-,2,,9,,24,,40,,3,,5,,13,,13,,,NEW ENGLAND,20211102,,,
CONNECTICUT,2021,11,,-,0,,,-,,-,,-,1,,,-,3,,,-,0,,,-,,-,CONNECTICUT,,20211103,POINT (-72.738288 41.575155),1043,24
MAINE,2021,11,,-,0,,,-,,-,2,,9,,23,,33,,3,,3,,13,,8,,MAINE,,20211104,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,11,,-,1,,,-,,-,,-,0,,,-,2,,,-,0,,,-,,-,MASSACHUSETTS,,20211105,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,11,,-,0,,,-,,-,,-,1,,1,,2,,,-,2,,,-,5,,NEW HAMPSHIRE,,20211106,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,11,,U,,NC,,U,,U,,U,,NC,,U,,U,,U,,NC,,U,,U,RHODE ISLAND,,20211107,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,11,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,VERMONT,,20211108,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,11,,-,1,,,-,2,,1,,27,,13,,110,,4,,8,,6,,25,,,MIDDLE ATLANTIC,20211109,,,
